Iteration,Proportion Test,Proportion Test (Sim Results Dual1.Csv),Proportion Test (Sim Results Dual2.Csv),Proportion Test (Sim Results Dual3.Csv),Proportion Test (Sim Results Dual4.Csv)
117,0.3104,0.3674,0.407,0.4646,0.4732
118,0.3209,0.3767,0.4089,0.4742,0.4856
119,0.3112,0.3543,0.3998,0.4727,0.469
120,0.3106,0.3631,0.4216,0.4524,0.4847
121,0.3146,0.368,0.4024,0.4486,0.503
122,0.3235,0.3751,0.4094,0.4534,0.4991
123,0.3235,0.367,0.4356,0.4387,0.486
124,0.3096,0.3716,0.4154,0.4326,0.4818
125,0.326,0.3745,0.4245,0.4319,0.4619
126,0.3193,0.3967,0.3989,0.4651,0.4799
127,0.3187,0.37,0.4307,0.4274,0.4839
128,0.3033,0.3824,0.3942,0.4484,0.4533
129,0.3247,0.348,0.4152,0.4862,0.5022
130,0.3188,0.3445,0.4037,0.4543,0.4785
131,0.3172,0.3818,0.4235,0.4522,0.4945
132,0.3112,0.3605,0.4192,0.4317,0.4602
133,0.3215,0.3791,0.404,0.4444,0.4647
134,0.32,0.3608,0.4116,0.4738,0.4635
135,0.318,0.3822,0.4111,0.4282,0.5041
136,0.3151,0.3698,0.3957,0.4387,0.478
137,0.3145,0.3583,0.3939,0.4521,0.4795
138,0.3186,0.3647,0.3826,0.4213,0.4852
139,0.313,0.3625,0.4278,0.4689,0.4832
140,0.3104,0.3737,0.3978,0.4703,0.4561
141,0.3114,0.3726,0.4014,0.4517,0.4787
142,0.3168,0.3633,0.4106,0.4417,0.4837
143,0.3065,0.3837,0.4131,0.4558,0.4743
144,0.3166,0.3608,0.4097,0.4309,0.4885
145,0.3186,0.3591,0.4058,0.4469,0.4986
146,0.3091,0.3797,0.4361,0.4376,0.4896
147,0.3102,0.3725,0.4387,0.4409,0.4596
148,0.3227,0.3666,0.4227,0.4594,0.4665
149,0.3122,0.3618,0.4071,0.4628,0.482
150,0.3241,0.3806,0.3913,0.4385,0.4812
151,0.3233,0.3332,0.4225,0.4591,0.4743
152,0.3144,0.3883,0.3984,0.4683,0.4899
153,0.3134,0.3812,0.4201,0.4634,0.4615
154,0.3213,0.3427,0.3936,0.468,0.4554
155,0.315,0.344,0.4105,0.4358,0.47
156,0.3113,0.3569,0.3928,0.4416,0.4756
157,0.3032,0.3638,0.4007,0.4383,0.4853
158,0.3217,0.3658,0.405,0.4282,0.4995
159,0.3235,0.3594,0.4204,0.4438,0.4946
160,0.3107,0.3733,0.4276,0.468,0.478
161,0.321,0.3817,0.4168,0.4486,0.471
162,0.3171,0.3658,0.4155,0.4599,0.4675
163,0.328,0.3519,0.4132,0.4554,0.4917
164,0.3135,0.348,0.4286,0.4582,0.4823
165,0.3165,0.3621,0.4157,0.4305,0.4749
166,0.3118,0.3572,0.4335,0.4607,0.4911
167,0.3085,0.3531,0.4292,0.4637,0.4877
168,0.3136,0.3881,0.417,0.4437,0.5021
169,0.3179,0.3585,0.4143,0.4253,0.4956
170,0.3083,0.3569,0.4208,0.4606,0.4736
171,0.3263,0.3691,0.4021,0.459,0.459
172,0.3169,0.38,0.4222,0.4349,0.4931
173,0.3178,0.3711,0.3965,0.4634,0.4919
174,0.321,0.38,0.3868,0.4582,0.4735
175,0.3191,0.3646,0.4143,0.4457,0.4935
176,0.3111,0.3691,0.416,0.4707,0.4806
177,0.319,0.3518,0.3961,0.4469,0.4869
178,0.3159,0.3785,0.3969,0.4403,0.5067
179,0.3231,0.3805,0.441,0.4613,0.477
180,0.3173,0.3686,0.4244,0.4688,0.4809
181,0.3107,0.3692,0.4077,0.4455,0.462
182,0.3222,0.3674,0.4316,0.4604,0.4927
183,0.312,0.3716,0.4303,0.4722,0.4517
184,0.3104,0.3527,0.4037,0.4356,0.4867
185,0.327,0.3429,0.4179,0.4585,0.4838
186,0.3125,0.3701,0.4172,0.4302,0.4875
187,0.3228,0.364,0.4071,0.4526,0.4622
188,0.3164,0.3761,0.4131,0.4252,0.4703
189,0.3164,0.3684,0.398,0.4225,0.4783
190,0.3149,0.3608,0.3996,0.4549,0.476
191,0.3165,0.3669,0.4014,0.449,0.4696
192,0.3115,0.3463,0.4188,0.4629,0.4736
193,0.3085,0.3673,0.4087,0.4299,0.4583
194,0.3147,0.3706,0.4329,0.4543,0.4619
195,0.3044,0.3745,0.4105,0.4522,0.4671
196,0.3101,0.3436,0.4185,0.4338,0.4751
197,0.3227,0.3611,0.4006,0.4314,0.4667
198,0.3244,0.3577,0.3931,0.4451,0.4802
199,0.321,0.3609,0.4177,0.4606,0.4677
200,0.3269,0.3821,0.3951,0.459,0.4788
201,0.3213,0.3547,0.4019,0.4493,0.4639
202,0.3083,0.3692,0.4194,0.4398,0.4661
203,0.3215,0.3844,0.4069,0.4584,0.4991
204,0.3071,0.3635,0.4061,0.4571,0.4697
205,0.3087,0.3721,0.3991,0.4461,0.4805
206,0.3162,0.3742,0.42,0.4538,0.4966
207,0.3202,0.3611,0.4008,0.4571,0.4839
208,0.3238,0.3589,0.4213,0.4492,0.4859
209,0.3127,0.3634,0.3883,0.4726,0.4878
210,0.3129,0.3686,0.4225,0.4503,0.4829
211,0.3219,0.3509,0.4167,0.4313,0.4826
212,0.3199,0.3682,0.3954,0.4224,0.4767
213,0.3243,0.3631,0.4156,0.4719,0.4794
214,0.3166,0.34,0.4093,0.4447,0.4859
215,0.3232,0.3632,0.4237,0.4355,0.47
216,0.3186,0.3837,0.4021,0.4656,0.5034
217,0.3193,0.3586,0.4272,0.4595,0.4899
218,0.3242,0.3731,0.4014,0.4658,0.467
219,0.3133,0.3617,0.4208,0.4319,0.4988
220,0.3215,0.3674,0.4062,0.4523,0.4994
221,0.3116,0.3747,0.395,0.4548,0.4669
222,0.3146,0.3732,0.3839,0.44,0.4912
223,0.3157,0.3568,0.4067,0.4542,0.4945
224,0.3182,0.3572,0.4004,0.4318,0.4763
225,0.3104,0.374,0.4139,0.4465,0.4749
226,0.3152,0.3812,0.4245,0.4487,0.4858
227,0.3215,0.3617,0.4059,0.4499,0.4893
228,0.3197,0.3504,0.3962,0.4533,0.4876
229,0.312,0.3516,0.4174,0.4435,0.483
230,0.3168,0.3622,0.4283,0.4409,0.4608
231,0.3204,0.3769,0.4159,0.4363,0.4749
232,0.3159,0.3462,0.4116,0.4549,0.4739
233,0.3239,0.3705,0.4223,0.4386,0.476
234,0.3112,0.3928,0.4022,0.439,0.495
235,0.3207,0.3643,0.406,0.4538,0.4812
236,0.314,0.3557,0.4306,0.4423,0.4619
237,0.3149,0.3535,0.4217,0.4688,0.4712
238,0.3079,0.3818,0.3937,0.4603,0.4759
239,0.3114,0.3543,0.421,0.4516,0.4915
240,0.3182,0.3779,0.4024,0.4557,0.4825
241,0.3173,0.3648,0.4017,0.4225,0.4886
242,0.305,0.3531,0.4222,0.4481,0.486
243,0.3091,0.3679,0.4209,0.4568,0.4959
244,0.3279,0.3479,0.4127,0.4602,0.4778
245,0.3085,0.3681,0.4429,0.452,0.4786
246,0.3175,0.3652,0.4176,0.4664,0.5021
247,0.3226,0.3594,0.3875,0.4439,0.4891
248,0.3152,0.3937,0.409,0.4399,0.4887
249,0.3162,0.3755,0.404,0.425,0.4925
250,0.3105,0.3529,0.4117,0.4525,0.5059
251,0.3217,0.3676,0.408,0.4607,0.4743
252,0.3079,0.3595,0.4085,0.4452,0.472
253,0.3273,0.3745,0.392,0.428,0.4819
254,0.3185,0.3715,0.4135,0.4507,0.4802
255,0.3211,0.359,0.4106,0.4504,0.4588
256,0.3142,0.3763,0.389,0.448,0.484
257,0.3203,0.3513,0.4009,0.4514,0.4996
258,0.3138,0.3635,0.4308,0.4814,0.4786
259,0.3114,0.3684,0.439,0.4342,0.4746
260,0.3069,0.3794,0.4048,0.4664,0.4693
261,0.308,0.3931,0.4106,0.464,0.485
262,0.3195,0.3677,0.386,0.4204,0.4713
263,0.3179,0.3641,0.4054,0.4541,0.4971
264,0.3158,0.3721,0.4398,0.4464,0.4752
265,0.3205,0.3751,0.4237,0.4602,0.4996
266,0.3232,0.3759,0.4177,0.4569,0.4772
267,0.3091,0.3528,0.42,0.4438,0.4656
268,0.3144,0.3747,0.4161,0.457,0.4993
269,0.3221,0.3665,0.4077,0.4442,0.4889
270,0.3135,0.3582,0.4287,0.437,0.4832
271,0.3259,0.349,0.4017,0.4469,0.4545
272,0.3104,0.369,0.4121,0.4489,0.4807
273,0.3191,0.3651,0.4143,0.4403,0.4871
274,0.3167,0.3578,0.4142,0.4388,0.4611
275,0.3172,0.366,0.4178,0.4555,0.4768
276,0.3171,0.3539,0.4321,0.4456,0.4657
277,0.3245,0.3587,0.4054,0.4495,0.488
