Iteration,Proportion Test,Proportion Test (Sim Results Dual1.Csv),Proportion Test (Sim Results Dual2.Csv),Proportion Test (Sim Results Dual3.Csv),Proportion Test (Sim Results Dual4.Csv)
2561,0.3261,0.3601,0.4069,0.4307,0.4731
2562,0.3223,0.3627,0.395,0.4456,0.4969
2563,0.3143,0.3683,0.4327,0.4456,0.4938
2564,0.3221,0.3574,0.4255,0.4537,0.4576
2565,0.3189,0.3549,0.4179,0.4545,0.4693
2566,0.3155,0.3721,0.4168,0.4438,0.4857
2567,0.3161,0.395,0.3961,0.4307,0.489
2568,0.3144,0.3818,0.4236,0.4604,0.4786
2569,0.3089,0.3766,0.4242,0.4374,0.46
2570,0.3155,0.3785,0.4264,0.4615,0.4787
2571,0.3087,0.3645,0.3971,0.4365,0.4888
2572,0.3203,0.3469,0.3886,0.4516,0.4809
2573,0.3213,0.3455,0.4199,0.47,0.4733
2574,0.3198,0.3571,0.408,0.4697,0.5035
2575,0.3179,0.3609,0.4052,0.4813,0.4814
2576,0.3155,0.3652,0.4087,0.4473,0.4623
2577,0.3241,0.3635,0.4201,0.4393,0.4756
2578,0.3214,0.382,0.4002,0.4324,0.4869
2579,0.3179,0.3718,0.3955,0.4665,0.4855
2580,0.3191,0.3515,0.3912,0.4523,0.4477
2581,0.3048,0.3628,0.4226,0.4497,0.4827
2582,0.3185,0.3692,0.4314,0.4594,0.4839
2583,0.3238,0.3636,0.4187,0.4568,0.4721
2584,0.3111,0.3552,0.401,0.4323,0.4726
2585,0.3054,0.3652,0.4104,0.4473,0.494
2586,0.3178,0.3669,0.4239,0.4795,0.4963
2587,0.3132,0.3681,0.4104,0.4434,0.5051
2588,0.3184,0.3606,0.393,0.4249,0.4822
2589,0.3126,0.3836,0.3865,0.4677,0.471
2590,0.3087,0.3513,0.4283,0.4548,0.4781
2591,0.3188,0.377,0.4011,0.4453,0.4819
2592,0.3209,0.3851,0.423,0.4411,0.4859
2593,0.3197,0.3699,0.4138,0.4741,0.4625
2594,0.3,0.3696,0.3911,0.4506,0.462
2595,0.3244,0.3584,0.4244,0.443,0.4786
2596,0.3182,0.3795,0.4242,0.462,0.45
2597,0.3259,0.3782,0.4291,0.4691,0.4702
2598,0.3154,0.3818,0.4187,0.4635,0.4691
2599,0.3069,0.3472,0.429,0.4535,0.4683
2600,0.3198,0.3533,0.4379,0.4423,0.4724
2601,0.3166,0.3624,0.4227,0.4365,0.4923
2602,0.3163,0.3518,0.3796,0.4574,0.4994
2603,0.3035,0.3569,0.4105,0.425,0.4968
2604,0.3207,0.3651,0.4044,0.4545,0.478
2605,0.328,0.3723,0.402,0.4628,0.4849
2606,0.3209,0.3853,0.3902,0.4851,0.4819
2607,0.3204,0.3679,0.397,0.4423,0.4872
2608,0.3174,0.3674,0.4263,0.4312,0.5015
2609,0.3209,0.3666,0.4208,0.4569,0.4812
2610,0.3054,0.3514,0.411,0.4334,0.4752
2611,0.3183,0.3752,0.3861,0.4476,0.4811
2612,0.3112,0.3412,0.407,0.4535,0.4732
2613,0.3136,0.3715,0.4199,0.446,0.4761
2614,0.3176,0.3644,0.4121,0.4553,0.4747
2615,0.309,0.3445,0.4118,0.4481,0.4721
2616,0.318,0.3757,0.41,0.4335,0.4868
2617,0.3178,0.3884,0.3983,0.4661,0.482
2618,0.3157,0.3674,0.4044,0.472,0.4715
2619,0.3142,0.3784,0.4107,0.4642,0.4937
2620,0.3165,0.382,0.3979,0.4629,0.4904
2621,0.3083,0.3848,0.397,0.4371,0.4869
2622,0.3246,0.3632,0.4284,0.4558,0.4845
2623,0.3119,0.378,0.4289,0.448,0.4567
2624,0.3127,0.3695,0.4073,0.4708,0.4667
2625,0.3273,0.3388,0.4064,0.453,0.4685
2626,0.3164,0.3334,0.3941,0.4616,0.4734
2627,0.3195,0.3539,0.4108,0.454,0.4793
2628,0.3144,0.353,0.392,0.4506,0.4856
2629,0.325,0.3593,0.4085,0.4483,0.4864
2630,0.3141,0.3708,0.407,0.4678,0.4684
2631,0.3213,0.3588,0.417,0.4518,0.4913
2632,0.3196,0.372,0.4205,0.4659,0.4711
2633,0.3146,0.3619,0.4298,0.4524,0.4836
2634,0.3217,0.3784,0.439,0.4408,0.4826
2635,0.3106,0.3912,0.4148,0.4455,0.475
2636,0.3143,0.3784,0.4331,0.4504,0.485
2637,0.3157,0.3571,0.428,0.4753,0.4693
2638,0.3283,0.3537,0.4259,0.4259,0.472
2639,0.3146,0.3633,0.4073,0.468,0.4784
2640,0.3297,0.3688,0.4049,0.4516,0.4734
2641,0.316,0.3798,0.4033,0.4414,0.4846
2642,0.3137,0.361,0.3965,0.4585,0.4619
2643,0.3199,0.3699,0.417,0.469,0.4651
2644,0.3185,0.375,0.4272,0.4611,0.4905
2645,0.3204,0.348,0.4279,0.4462,0.4829
2646,0.3159,0.3836,0.4019,0.4632,0.4651
2647,0.3079,0.349,0.3988,0.4574,0.483
2648,0.3176,0.3881,0.4201,0.4502,0.496
2649,0.3089,0.3612,0.4092,0.4263,0.4759
2650,0.3135,0.3821,0.4132,0.4607,0.482
2651,0.3219,0.3634,0.4077,0.4493,0.461
2652,0.3132,0.3753,0.3927,0.4537,0.4952
2653,0.3251,0.3613,0.4072,0.4606,0.4813
2654,0.3139,0.3715,0.4135,0.4559,0.4806
2655,0.3256,0.3723,0.3912,0.4356,0.4883
2656,0.3183,0.3674,0.437,0.4685,0.4901
2657,0.3189,0.3611,0.4072,0.4404,0.4746
2658,0.3201,0.3602,0.4132,0.464,0.4703
2659,0.3215,0.3698,0.4214,0.4463,0.4798
2660,0.3172,0.3724,0.422,0.4429,0.4774
2661,0.3123,0.3707,0.3971,0.4654,0.4762
2662,0.3172,0.3574,0.3929,0.4514,0.4555
2663,0.3138,0.3711,0.4217,0.4603,0.4739
2664,0.3121,0.3617,0.4202,0.4716,0.4632
2665,0.3168,0.3577,0.4103,0.4487,0.4549
2666,0.3243,0.367,0.3808,0.4211,0.4755
2667,0.3239,0.3722,0.3913,0.4522,0.4935
2668,0.317,0.3627,0.4139,0.4489,0.4653
2669,0.32,0.3573,0.42,0.4552,0.4749
2670,0.3229,0.3632,0.397,0.4459,0.4688
2671,0.311,0.3512,0.4031,0.4758,0.4499
2672,0.3051,0.3579,0.4017,0.4565,0.4845
2673,0.3229,0.3631,0.4248,0.4554,0.4842
2674,0.3246,0.3806,0.4181,0.4297,0.4764
2675,0.315,0.3753,0.3962,0.4558,0.4833
2676,0.3224,0.3746,0.4218,0.4555,0.4821
2677,0.3077,0.3603,0.387,0.4505,0.4612
2678,0.3096,0.3645,0.413,0.464,0.5019
2679,0.3268,0.3599,0.4145,0.4526,0.4967
2680,0.3178,0.3747,0.3989,0.4439,0.4757
2681,0.3144,0.3783,0.4157,0.4749,0.4833
2682,0.3126,0.3744,0.394,0.4374,0.48
2683,0.3208,0.3603,0.4255,0.4452,0.4711
2684,0.309,0.3789,0.4002,0.4423,0.4755
2685,0.3272,0.3634,0.4242,0.4497,0.5038
2686,0.3162,0.3567,0.4245,0.4603,0.4751
2687,0.3099,0.3689,0.3953,0.4557,0.4739
2688,0.3128,0.3724,0.4212,0.4494,0.4864
2689,0.3141,0.3817,0.4089,0.4408,0.4917
2690,0.3208,0.3717,0.4168,0.4364,0.4689
2691,0.3124,0.3693,0.4018,0.4468,0.4768
2692,0.3189,0.3737,0.3853,0.4584,0.4831
2693,0.3179,0.3658,0.4076,0.4401,0.4909
2694,0.3274,0.3633,0.4124,0.4304,0.4672
2695,0.3145,0.3883,0.4238,0.4608,0.4834
2696,0.3141,0.3539,0.4339,0.4384,0.4855
2697,0.3159,0.3744,0.4191,0.4462,0.4638
2698,0.3089,0.3485,0.4111,0.447,0.4751
2699,0.3189,0.3465,0.4038,0.4599,0.4743
2700,0.3164,0.3855,0.4026,0.449,0.4642
2701,0.3155,0.357,0.425,0.4485,0.4817
2702,0.3129,0.3701,0.411,0.4532,0.4696
2703,0.319,0.3593,0.4029,0.4473,0.4875
2704,0.3182,0.3387,0.399,0.4689,0.4719
2705,0.3073,0.3715,0.4047,0.4471,0.447
2706,0.3192,0.3708,0.4085,0.4332,0.4733
2707,0.3081,0.3554,0.4064,0.4704,0.4657
2708,0.3116,0.3602,0.3941,0.4732,0.4789
2709,0.3223,0.3722,0.4181,0.4395,0.4667
2710,0.3215,0.3674,0.3949,0.43,0.4575
2711,0.3159,0.36,0.4095,0.4529,0.472
2712,0.3202,0.3658,0.3907,0.4749,0.4703
2713,0.3136,0.3812,0.4034,0.447,0.5036
2714,0.3152,0.3813,0.4084,0.4498,0.4523
2715,0.3087,0.3682,0.4275,0.4666,0.4848
2716,0.3084,0.3792,0.3943,0.4494,0.466
2717,0.3151,0.3866,0.4041,0.4733,0.4872
2718,0.3115,0.3779,0.3941,0.4557,0.4653
2719,0.3215,0.3647,0.3967,0.457,0.4967
2720,0.3202,0.3721,0.4006,0.4356,0.4654
2721,0.3231,0.3584,0.4158,0.4706,0.4726
2722,0.3176,0.3651,0.4375,0.4437,0.4614
2723,0.3141,0.3709,0.4107,0.4298,0.4729
2724,0.3199,0.3816,0.3984,0.4387,0.4866
2725,0.3115,0.357,0.3922,0.4592,0.4712
2726,0.3189,0.3499,0.4217,0.4429,0.4498
2727,0.3187,0.3654,0.4239,0.4507,0.4689
2728,0.3118,0.3515,0.4023,0.4409,0.47
2729,0.3215,0.3525,0.4151,0.4425,0.5089
2730,0.3166,0.3864,0.4151,0.4491,0.44
2731,0.317,0.3471,0.416,0.4379,0.4845
2732,0.3148,0.3771,0.4187,0.4276,0.4878
2733,0.3201,0.3906,0.4171,0.4322,0.4941
2734,0.3154,0.3776,0.394,0.4519,0.4828
2735,0.3311,0.3826,0.3953,0.4446,0.465
2736,0.3156,0.356,0.4209,0.4637,0.475
2737,0.3121,0.3555,0.404,0.4495,0.4824
2738,0.3108,0.3735,0.4285,0.4525,0.4626
2739,0.3121,0.3656,0.4076,0.4455,0.4957
2740,0.3101,0.3469,0.4007,0.4336,0.4568
2741,0.3195,0.3528,0.3826,0.4415,0.4696
2742,0.3256,0.3735,0.4134,0.4266,0.4872
2743,0.3237,0.3765,0.3987,0.4442,0.4814
2744,0.3074,0.3696,0.4026,0.458,0.4631
2745,0.3182,0.3667,0.4178,0.4552,0.4604
2746,0.3111,0.3648,0.4337,0.4377,0.4666
2747,0.3116,0.3735,0.4201,0.4839,0.4853
2748,0.3165,0.3741,0.4087,0.4382,0.4579
2749,0.3128,0.3724,0.415,0.4499,0.4979
2750,0.3181,0.353,0.4138,0.4525,0.4671
2751,0.3247,0.3721,0.412,0.4489,0.4846
2752,0.301,0.3785,0.3957,0.4619,0.4703
2753,0.318,0.3653,0.4038,0.4368,0.4692
2754,0.3123,0.3665,0.4088,0.4484,0.4925
2755,0.3061,0.3449,0.4023,0.4423,0.4819
2756,0.3062,0.3469,0.4199,0.4264,0.4849
2757,0.3263,0.3983,0.4152,0.4444,0.4839
2758,0.3077,0.3809,0.4073,0.4375,0.4773
2759,0.3026,0.353,0.4084,0.4443,0.4842
2760,0.3236,0.3597,0.4158,0.4563,0.4818
2761,0.3204,0.3578,0.3955,0.4536,0.4726
2762,0.3095,0.3537,0.4248,0.437,0.462
2763,0.3193,0.3702,0.4137,0.4585,0.471
2764,0.3108,0.3758,0.4375,0.4517,0.5095
2765,0.3234,0.3686,0.3963,0.465,0.4912
2766,0.3131,0.3471,0.4167,0.4745,0.4971
2767,0.3175,0.3613,0.4298,0.464,0.4818
2768,0.3158,0.3713,0.4074,0.4545,0.4935
2769,0.3173,0.3598,0.4156,0.43,0.4722
2770,0.3133,0.3586,0.4156,0.4517,0.4957
2771,0.3265,0.3731,0.41,0.4685,0.4591
2772,0.3193,0.373,0.4,0.4424,0.4892
2773,0.3131,0.3704,0.4284,0.4523,0.4653
2774,0.3213,0.3481,0.4108,0.4618,0.5038
2775,0.3194,0.3629,0.4247,0.4645,0.4504
2776,0.3249,0.3605,0.4127,0.458,0.4679
2777,0.3184,0.3736,0.4123,0.4346,0.4783
2778,0.3165,0.3812,0.4114,0.4781,0.4823
2779,0.3099,0.3674,0.4275,0.4435,0.4886
2780,0.3226,0.3805,0.4141,0.4424,0.4742
2781,0.3136,0.3753,0.4165,0.4365,0.4904
2782,0.315,0.3674,0.4181,0.4409,0.4527
2783,0.3055,0.3538,0.4085,0.4599,0.4827
2784,0.3178,0.3559,0.4189,0.4576,0.4668
2785,0.3239,0.353,0.4312,0.4617,0.4835
2786,0.3173,0.3636,0.4097,0.4683,0.4858
2787,0.3099,0.3551,0.4067,0.4771,0.4956
2788,0.3218,0.3435,0.4355,0.4523,0.4765
2789,0.3094,0.3703,0.4086,0.4605,0.5049
2790,0.3177,0.3721,0.4264,0.4348,0.4823
2791,0.3215,0.3658,0.4053,0.475,0.4822
2792,0.3115,0.3724,0.4193,0.4504,0.4909
2793,0.3146,0.3589,0.4133,0.4634,0.4624
2794,0.3151,0.3522,0.3898,0.4551,0.4874
2795,0.3116,0.3807,0.4011,0.4667,0.479
2796,0.3073,0.3808,0.4159,0.4235,0.4858
2797,0.31,0.39,0.4155,0.4517,0.4715
2798,0.3123,0.3778,0.4182,0.4627,0.4787
2799,0.3158,0.3778,0.4227,0.43,0.4889
2800,0.312,0.3557,0.3839,0.4473,0.4742
2801,0.3128,0.3635,0.43,0.443,0.4603
2802,0.3225,0.3756,0.4073,0.4451,0.4855
2803,0.3164,0.3636,0.4238,0.473,0.4791
2804,0.3192,0.3669,0.3963,0.4461,0.4561
2805,0.3124,0.3678,0.4166,0.4534,0.4657
2806,0.3134,0.367,0.4253,0.4481,0.489
2807,0.3097,0.374,0.4043,0.4304,0.4803
2808,0.3154,0.3454,0.4088,0.4427,0.4709
2809,0.3188,0.3715,0.4026,0.438,0.4912
2810,0.3156,0.3868,0.4047,0.4377,0.4884
2811,0.3319,0.3486,0.3909,0.4486,0.4938
2812,0.3099,0.3676,0.4163,0.4446,0.4843
2813,0.3076,0.3491,0.4151,0.4481,0.4834
2814,0.3073,0.3437,0.3858,0.4605,0.4662
2815,0.3182,0.3551,0.4041,0.4498,0.4796
2816,0.3071,0.3693,0.4328,0.477,0.4961
2817,0.3197,0.3726,0.419,0.4516,0.498
2818,0.3206,0.3668,0.4023,0.4549,0.4987
2819,0.3258,0.382,0.4036,0.4267,0.4918
2820,0.3072,0.3684,0.4206,0.4573,0.4968
2821,0.3247,0.3609,0.4172,0.4589,0.4937
2822,0.3093,0.3645,0.4079,0.4532,0.4583
2823,0.311,0.3736,0.4255,0.4363,0.4876
2824,0.3169,0.375,0.4158,0.4287,0.4983
2825,0.3163,0.3948,0.4,0.4584,0.4604
2826,0.3179,0.3734,0.4102,0.4592,0.4719
2827,0.2983,0.3778,0.4122,0.4411,0.4974
2828,0.3145,0.3571,0.3947,0.4584,0.4876
2829,0.3157,0.3807,0.4093,0.4253,0.4687
2830,0.3207,0.3719,0.4073,0.4678,0.466
2831,0.312,0.3845,0.3869,0.4298,0.4564
2832,0.3186,0.3708,0.4032,0.4388,0.4667
2833,0.321,0.3506,0.3928,0.44,0.4773
2834,0.3102,0.3432,0.4053,0.477,0.471
2835,0.3218,0.355,0.3892,0.4414,0.4845
2836,0.31,0.3616,0.4195,0.4471,0.4668
2837,0.3214,0.3647,0.4084,0.4486,0.4773
2838,0.3098,0.3569,0.433,0.4289,0.4449
2839,0.3162,0.3741,0.3844,0.4309,0.4728
2840,0.3146,0.3879,0.4212,0.4389,0.481
2841,0.3213,0.3763,0.3868,0.4553,0.4915
2842,0.3136,0.3537,0.4042,0.4605,0.4699
2843,0.3226,0.3538,0.405,0.4359,0.4741
2844,0.3159,0.3734,0.4029,0.4515,0.4726
2845,0.3148,0.3709,0.4126,0.4807,0.4909
2846,0.314,0.3557,0.4062,0.4398,0.4763
2847,0.327,0.3739,0.394,0.4437,0.499
2848,0.3041,0.3666,0.4061,0.449,0.4782
2849,0.3198,0.3551,0.4214,0.4382,0.4989
2850,0.3102,0.3497,0.4281,0.452,0.4736
2851,0.3204,0.3546,0.4046,0.447,0.4677
2852,0.318,0.3652,0.4132,0.4537,0.4796
2853,0.3201,0.3743,0.4186,0.4431,0.4743
2854,0.3118,0.3781,0.4166,0.4427,0.4737
2855,0.3199,0.3818,0.4172,0.4648,0.4895
2856,0.3134,0.3516,0.4115,0.4436,0.4838
2857,0.3121,0.3606,0.4019,0.4299,0.4822
2858,0.318,0.3933,0.4198,0.4602,0.4765
2859,0.3191,0.387,0.3938,0.4574,0.4734
2860,0.3109,0.3791,0.4128,0.4386,0.496
2861,0.3143,0.3848,0.416,0.4521,0.4984
2862,0.3281,0.3631,0.4038,0.4406,0.4965
2863,0.319,0.3883,0.4087,0.4306,0.4689
2864,0.3143,0.3875,0.3928,0.4677,0.4829
2865,0.3229,0.3798,0.4373,0.476,0.4821
2866,0.3248,0.3654,0.4077,0.4416,0.48
2867,0.3189,0.3718,0.4135,0.4476,0.4778
2868,0.3107,0.3596,0.4255,0.4598,0.492
2869,0.316,0.3636,0.4041,0.4417,0.5033
2870,0.3167,0.3751,0.4202,0.472,0.4665
2871,0.3143,0.3552,0.4322,0.4429,0.4971
2872,0.3167,0.359,0.4212,0.4519,0.4601
2873,0.309,0.3881,0.3885,0.4609,0.4786
2874,0.3112,0.3702,0.4326,0.4404,0.4831
2875,0.3158,0.3581,0.4103,0.4261,0.4877
2876,0.309,0.3582,0.4221,0.477,0.4686
2877,0.3198,0.3647,0.4229,0.4337,0.476
2878,0.309,0.3909,0.4312,0.4531,0.4939
2879,0.3118,0.3716,0.4202,0.4513,0.4884
2880,0.3154,0.3594,0.4008,0.4286,0.4978
2881,0.3211,0.3635,0.4206,0.4478,0.4855
2882,0.3242,0.3451,0.3895,0.4697,0.485
2883,0.3145,0.3636,0.4015,0.4568,0.4788
2884,0.3188,0.3534,0.4136,0.4279,0.4635
2885,0.3244,0.383,0.4213,0.4332,0.4787
2886,0.3236,0.3788,0.3971,0.4595,0.4753
2887,0.3141,0.3661,0.4053,0.4431,0.473
2888,0.306,0.3827,0.411,0.449,0.4714
2889,0.3073,0.3775,0.4135,0.4443,0.459
2890,0.3123,0.3732,0.4181,0.4358,0.4717
2891,0.3226,0.3973,0.4022,0.4338,0.4645
2892,0.3153,0.381,0.4224,0.4538,0.4889
2893,0.3164,0.3638,0.4241,0.4406,0.4865
2894,0.3066,0.3547,0.4359,0.438,0.4925
2895,0.3138,0.3724,0.4105,0.4461,0.4705
2896,0.3095,0.3684,0.386,0.4268,0.4761
2897,0.3079,0.3869,0.4249,0.4692,0.4758
2898,0.3167,0.3644,0.4193,0.446,0.4721
2899,0.3157,0.3627,0.4063,0.4607,0.4843
2900,0.3167,0.3869,0.3983,0.4399,0.471
2901,0.3252,0.3592,0.419,0.4351,0.4696
2902,0.3214,0.3671,0.4273,0.4345,0.4694
2903,0.3158,0.3591,0.4033,0.4649,0.4831
2904,0.3128,0.3565,0.4204,0.481,0.4751
2905,0.3235,0.3648,0.3901,0.4543,0.4824
2906,0.3202,0.3839,0.4174,0.4626,0.4716
2907,0.3057,0.3504,0.4087,0.4427,0.4883
2908,0.3113,0.3618,0.4159,0.455,0.4543
2909,0.3158,0.3457,0.4109,0.4647,0.4724
2910,0.3156,0.3822,0.4025,0.4398,0.4721
2911,0.3157,0.3401,0.4078,0.4294,0.4687
2912,0.315,0.3727,0.3996,0.4554,0.4738
2913,0.3187,0.3655,0.4273,0.4644,0.48
2914,0.3192,0.3794,0.4408,0.4323,0.4854
2915,0.3161,0.3961,0.3883,0.4424,0.4764
2916,0.3081,0.3836,0.4084,0.4165,0.4888
2917,0.3016,0.3861,0.4087,0.4429,0.4602
2918,0.3149,0.3649,0.3948,0.4459,0.4875
2919,0.3158,0.3597,0.4129,0.4609,0.4766
2920,0.3235,0.3525,0.3966,0.4563,0.4788
2921,0.3192,0.3764,0.4253,0.433,0.4702
2922,0.3124,0.3657,0.3982,0.4504,0.4828
2923,0.3126,0.3757,0.4262,0.4568,0.4962
2924,0.3097,0.3713,0.4195,0.4385,0.4784
2925,0.3202,0.3833,0.4065,0.4704,0.4769
2926,0.3109,0.366,0.3995,0.4603,0.4584
2927,0.3081,0.3646,0.4066,0.444,0.4619
2928,0.326,0.3658,0.4185,0.436,0.5001
2929,0.3162,0.3643,0.429,0.4298,0.4694
2930,0.3136,0.3686,0.4007,0.4804,0.4753
2931,0.311,0.3639,0.4078,0.4223,0.5007
2932,0.3157,0.3769,0.4047,0.4627,0.4941
2933,0.3188,0.3526,0.4335,0.4413,0.4837
2934,0.3063,0.3627,0.4096,0.4662,0.4867
2935,0.3302,0.3788,0.405,0.442,0.4985
2936,0.3198,0.3832,0.3993,0.4463,0.476
2937,0.315,0.3526,0.4126,0.4705,0.4974
2938,0.3196,0.36,0.4109,0.4608,0.4672
2939,0.3112,0.3693,0.4234,0.4559,0.4704
2940,0.3185,0.3591,0.4209,0.4521,0.4665
2941,0.3189,0.3719,0.3944,0.4365,0.4637
2942,0.3284,0.3654,0.4238,0.46,0.4903
2943,0.316,0.3775,0.4114,0.4358,0.4874
2944,0.327,0.371,0.4123,0.4531,0.4587
2945,0.3227,0.39,0.3921,0.4618,0.4636
2946,0.3003,0.3763,0.4024,0.4565,0.4923
2947,0.3131,0.3425,0.3931,0.4345,0.482
2948,0.3161,0.3761,0.4103,0.4417,0.4885
2949,0.3235,0.3551,0.4184,0.4491,0.4783
2950,0.3272,0.3502,0.4309,0.4561,0.4712
2951,0.3208,0.3884,0.4096,0.448,0.4874
2952,0.3097,0.3735,0.4131,0.4604,0.4867
2953,0.3149,0.3694,0.4256,0.4474,0.4886
2954,0.3123,0.3553,0.3986,0.4355,0.4636
2955,0.3053,0.3937,0.3914,0.4463,0.4918
2956,0.3127,0.3542,0.4264,0.443,0.478
2957,0.319,0.3774,0.4198,0.4466,0.4989
2958,0.3217,0.382,0.3962,0.442,0.4805
2959,0.3211,0.3467,0.4408,0.4544,0.4738
2960,0.3111,0.3489,0.4086,0.4624,0.4971
2961,0.324,0.3742,0.4044,0.4689,0.488
2962,0.3104,0.3831,0.3856,0.4663,0.495
2963,0.3229,0.3692,0.4143,0.4388,0.479
2964,0.3231,0.3628,0.4248,0.448,0.4785
2965,0.315,0.3491,0.4354,0.449,0.4997
2966,0.3204,0.3794,0.402,0.4484,0.4757
2967,0.3149,0.379,0.4239,0.4255,0.4767
2968,0.3203,0.3734,0.4012,0.4294,0.4993
2969,0.3164,0.3863,0.4402,0.4577,0.4653
2970,0.3159,0.355,0.4116,0.4612,0.4846
2971,0.3143,0.3533,0.4081,0.4575,0.4828
2972,0.3135,0.3891,0.4326,0.4308,0.456
2973,0.3165,0.3692,0.3963,0.4575,0.4827
2974,0.3203,0.3632,0.4266,0.428,0.4905
2975,0.3078,0.3433,0.3922,0.4693,0.4809
2976,0.3114,0.3381,0.3955,0.4608,0.4985
2977,0.3204,0.3558,0.4161,0.4396,0.4654
2978,0.3123,0.3507,0.4084,0.4445,0.4484
2979,0.3115,0.3885,0.4233,0.4492,0.4792
2980,0.3171,0.3647,0.4043,0.464,0.5003
2981,0.3238,0.3879,0.4254,0.4623,0.4739
2982,0.326,0.3439,0.3968,0.4467,0.4836
2983,0.311,0.3606,0.422,0.4695,0.4706
2984,0.3204,0.3876,0.4169,0.4782,0.4739
2985,0.3194,0.369,0.4106,0.4604,0.4701
2986,0.3138,0.3496,0.4012,0.4369,0.4773
2987,0.313,0.3555,0.4317,0.4413,0.4635
2988,0.3064,0.3597,0.4248,0.4273,0.4805
2989,0.3148,0.3812,0.4062,0.4323,0.4695
2990,0.3126,0.3755,0.4036,0.4257,0.4704
2991,0.3133,0.3653,0.418,0.4295,0.4851
2992,0.3236,0.3526,0.4246,0.4454,0.4689
2993,0.3213,0.366,0.4296,0.4435,0.4934
2994,0.3077,0.3619,0.4331,0.4581,0.4697
2995,0.3218,0.3653,0.4043,0.4473,0.4655
2996,0.3217,0.3697,0.4155,0.4462,0.4678
2997,0.3131,0.3476,0.4345,0.4725,0.51
2998,0.3128,0.3872,0.4093,0.4664,0.4843
2999,0.3128,0.382,0.418,0.4406,0.4959
3000,0.3151,0.3577,0.4194,0.4433,0.4923
3001,0.3185,0.3714,0.4193,0.4503,0.5029
3002,0.3023,0.3747,0.4136,0.4605,0.4922
3003,0.3229,0.345,0.42,0.464,0.497
3004,0.3128,0.3563,0.3954,0.4457,0.4812
3005,0.314,0.3563,0.435,0.4286,0.4903
3006,0.3246,0.3596,0.4125,0.4638,0.4966
3007,0.3085,0.3887,0.4344,0.4458,0.4682
3008,0.3192,0.3677,0.4199,0.4602,0.488
3009,0.3235,0.3693,0.3903,0.471,0.4989
3010,0.3184,0.3655,0.3857,0.4702,0.4686
3011,0.31,0.3841,0.3939,0.4584,0.4691
3012,0.3214,0.3675,0.3736,0.4524,0.4595
3013,0.3173,0.3711,0.4093,0.4339,0.4692
3014,0.3089,0.368,0.4156,0.4509,0.4899
3015,0.3253,0.3659,0.3969,0.4745,0.5034
3016,0.3077,0.3517,0.4138,0.4303,0.4674
3017,0.3264,0.3667,0.4128,0.4707,0.4752
3018,0.3081,0.3732,0.4078,0.4423,0.4847
3019,0.3102,0.3669,0.4029,0.4731,0.4792
3020,0.312,0.3589,0.4218,0.4405,0.4743
3021,0.3139,0.3589,0.432,0.4698,0.4648
3022,0.3139,0.3776,0.3999,0.4717,0.4685
3023,0.3207,0.3871,0.4335,0.4632,0.4778
3024,0.3083,0.3674,0.4174,0.4391,0.4574
3025,0.3122,0.3789,0.4024,0.449,0.502
3026,0.3122,0.3728,0.4197,0.4547,0.4696
3027,0.3054,0.3582,0.4161,0.4541,0.4513
3028,0.3204,0.3432,0.4085,0.4676,0.4886
3029,0.3126,0.3635,0.4052,0.4283,0.4961
3030,0.3193,0.3712,0.4183,0.435,0.4837
3031,0.3134,0.3579,0.3951,0.4519,0.4936
3032,0.3156,0.3537,0.3996,0.4427,0.484
3033,0.3116,0.3675,0.4352,0.4433,0.4913
3034,0.326,0.3602,0.4041,0.4469,0.4801
3035,0.3252,0.3476,0.4014,0.4687,0.4675
3036,0.3063,0.3551,0.4061,0.4407,0.4855
3037,0.3179,0.3621,0.4148,0.4663,0.4851
3038,0.3208,0.3504,0.4226,0.4541,0.4816
3039,0.3169,0.3622,0.3969,0.438,0.4612
3040,0.3182,0.3529,0.407,0.4344,0.4967
3041,0.311,0.37,0.3841,0.4516,0.4713
3042,0.3199,0.3581,0.3864,0.4564,0.4813
3043,0.3122,0.3599,0.4096,0.4365,0.4569
3044,0.3089,0.3689,0.4252,0.4695,0.4738
3045,0.317,0.3767,0.4041,0.4406,0.4989
3046,0.3118,0.3597,0.4359,0.4721,0.4563
3047,0.3184,0.3752,0.4229,0.4563,0.4943
3048,0.3086,0.3758,0.4103,0.4713,0.4888
3049,0.321,0.3742,0.4027,0.4532,0.4915
3050,0.3191,0.3615,0.4112,0.4668,0.4749
3051,0.3161,0.3619,0.3926,0.4381,0.481
3052,0.3156,0.366,0.4179,0.4434,0.4706
3053,0.3082,0.3648,0.3913,0.4545,0.484
3054,0.3161,0.3477,0.3979,0.4352,0.4663
3055,0.3092,0.3636,0.4241,0.4576,0.4756
3056,0.3145,0.3678,0.4102,0.4374,0.476
3057,0.3136,0.3821,0.4055,0.4693,0.4771
3058,0.3136,0.3702,0.3829,0.4799,0.4877
3059,0.3177,0.381,0.3962,0.4455,0.4731
3060,0.3028,0.3809,0.4121,0.4241,0.464
3061,0.3116,0.3578,0.4056,0.4646,0.4938
3062,0.3254,0.3501,0.4086,0.4353,0.4558
3063,0.315,0.356,0.3929,0.4598,0.4783
3064,0.3124,0.359,0.4083,0.4661,0.4871
3065,0.3133,0.3725,0.393,0.4286,0.4557
3066,0.3111,0.3677,0.4186,0.476,0.4857
