Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
118,0.3209,0.4033,0.44,0.4982,0.5169
119,0.3112,0.378,0.4332,0.5034,0.5185
120,0.3106,0.3963,0.4612,0.488,0.5102
121,0.3146,0.3968,0.444,0.4776,0.5275
122,0.3235,0.4071,0.4567,0.5023,0.5266
123,0.3235,0.3947,0.4683,0.4694,0.5154
124,0.3096,0.392,0.4516,0.4681,0.5214
125,0.326,0.3969,0.4496,0.4672,0.5087
126,0.3193,0.429,0.4385,0.4894,0.507
127,0.3187,0.4055,0.4628,0.4713,0.5186
128,0.3033,0.4121,0.4365,0.4914,0.4962
129,0.3247,0.3782,0.4377,0.5182,0.5179
130,0.3188,0.3679,0.447,0.4862,0.5275
131,0.3172,0.4128,0.4475,0.4906,0.5149
132,0.3112,0.3919,0.4567,0.474,0.5153
133,0.3215,0.4009,0.4322,0.497,0.5005
134,0.32,0.3896,0.4469,0.4965,0.5037
135,0.318,0.4127,0.4451,0.4757,0.5243
136,0.3151,0.3992,0.426,0.4893,0.5152
137,0.3145,0.3791,0.4292,0.501,0.5284
138,0.3186,0.3899,0.4298,0.4712,0.5284
139,0.313,0.3904,0.4654,0.5011,0.5141
140,0.3104,0.4119,0.441,0.5003,0.5024
141,0.3114,0.4018,0.4342,0.4983,0.5098
142,0.3168,0.3866,0.4397,0.4824,0.5264
143,0.3065,0.408,0.442,0.4872,0.5308
144,0.3166,0.3917,0.4407,0.4721,0.5097
145,0.3186,0.3847,0.445,0.4964,0.5277
146,0.3091,0.4017,0.4721,0.4832,0.5186
147,0.3102,0.403,0.4695,0.4902,0.5011
148,0.3227,0.3896,0.4432,0.4887,0.5002
149,0.3122,0.3819,0.455,0.5008,0.5218
150,0.3241,0.4081,0.4381,0.4868,0.5127
151,0.3233,0.3653,0.4519,0.4906,0.5182
152,0.3144,0.4249,0.4442,0.5109,0.5178
153,0.3134,0.4112,0.4526,0.5001,0.5095
154,0.3213,0.376,0.4256,0.5064,0.4964
155,0.315,0.3759,0.4616,0.478,0.495
156,0.3113,0.3839,0.4279,0.4993,0.495
157,0.3032,0.4087,0.4311,0.4851,0.5219
158,0.3217,0.3847,0.4397,0.4812,0.5195
159,0.3235,0.4032,0.4587,0.4765,0.5312
160,0.3107,0.4001,0.4686,0.4967,0.4997
161,0.321,0.4128,0.4523,0.477,0.4998
162,0.3171,0.3933,0.4487,0.4966,0.5052
163,0.328,0.3829,0.4517,0.4896,0.5116
164,0.3135,0.3784,0.4572,0.4863,0.5026
165,0.3165,0.3946,0.4405,0.4833,0.5047
166,0.3118,0.3897,0.4626,0.4934,0.5139
167,0.3085,0.3831,0.4675,0.4868,0.5188
168,0.3136,0.4078,0.4665,0.4719,0.5239
169,0.3179,0.3903,0.4495,0.4773,0.5225
170,0.3083,0.3918,0.4701,0.4888,0.5159
171,0.3263,0.393,0.4338,0.5103,0.5042
172,0.3169,0.4199,0.4641,0.4838,0.5231
173,0.3178,0.3976,0.4447,0.4964,0.5266
174,0.321,0.4206,0.413,0.5045,0.511
175,0.3191,0.3818,0.4506,0.4838,0.5166
176,0.3111,0.3912,0.4512,0.5071,0.5176
177,0.319,0.3846,0.4456,0.4931,0.5192
178,0.3159,0.4155,0.4429,0.4869,0.5352
179,0.3231,0.4142,0.482,0.5062,0.5148
180,0.3173,0.3899,0.4638,0.4985,0.5325
181,0.3107,0.4157,0.448,0.4841,0.5109
182,0.3222,0.403,0.4681,0.4895,0.526
183,0.312,0.4112,0.4709,0.4969,0.4972
184,0.3104,0.3858,0.4237,0.473,0.5233
185,0.327,0.3812,0.4627,0.4924,0.5181
186,0.3125,0.3999,0.4635,0.4892,0.5107
187,0.3228,0.4018,0.4564,0.4928,0.5019
188,0.3164,0.4124,0.4524,0.4753,0.5092
189,0.3164,0.3888,0.4548,0.4817,0.5185
190,0.3149,0.3968,0.4499,0.4796,0.5102
191,0.3165,0.396,0.4447,0.4842,0.5119
192,0.3115,0.3712,0.4744,0.4914,0.5208
193,0.3085,0.3931,0.439,0.4704,0.502
194,0.3147,0.3922,0.4632,0.4829,0.5055
195,0.3044,0.3985,0.4315,0.4842,0.5145
196,0.3101,0.3787,0.4551,0.4855,0.4983
197,0.3227,0.3828,0.4386,0.4762,0.5093
198,0.3244,0.3849,0.4347,0.4847,0.522
199,0.321,0.4032,0.4517,0.4926,0.5099
200,0.3269,0.4139,0.4407,0.4989,0.5153
201,0.3213,0.3745,0.4332,0.477,0.5092
202,0.3083,0.4036,0.4518,0.4794,0.5144
