Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
1605,0.3238,0.3947,0.435,0.4932,0.5175
1606,0.3123,0.4206,0.4448,0.4714,0.5291
1607,0.3234,0.3917,0.4385,0.5154,0.5224
1608,0.3222,0.4117,0.4287,0.4887,0.5207
1609,0.318,0.4007,0.4742,0.4888,0.5247
1610,0.3088,0.3996,0.4332,0.4725,0.5139
1611,0.3128,0.3953,0.438,0.503,0.5198
1612,0.313,0.4197,0.4518,0.4743,0.5089
1613,0.3128,0.4044,0.4417,0.4728,0.509
1614,0.3219,0.3914,0.4666,0.4838,0.5059
1615,0.3195,0.402,0.4788,0.4762,0.5134
1616,0.319,0.3822,0.4423,0.4846,0.5091
1617,0.3219,0.3852,0.4333,0.4821,0.5269
1618,0.3149,0.4142,0.4647,0.4674,0.5034
1619,0.3144,0.3937,0.44,0.4864,0.522
1620,0.3158,0.4006,0.4365,0.4795,0.5239
1621,0.3132,0.3822,0.4582,0.4792,0.5121
1622,0.3048,0.4055,0.4568,0.5025,0.5213
1623,0.3176,0.4061,0.4276,0.5031,0.5268
1624,0.3028,0.391,0.4429,0.4971,0.5168
1625,0.3176,0.3879,0.4265,0.4813,0.5102
1626,0.3187,0.3905,0.4463,0.4896,0.4983
1627,0.3207,0.3947,0.4505,0.4937,0.5174
1628,0.3206,0.367,0.4553,0.4893,0.5097
1629,0.319,0.395,0.459,0.4958,0.5093
1630,0.3091,0.4141,0.4492,0.4876,0.5153
1631,0.3077,0.3955,0.4673,0.4727,0.5166
1632,0.3118,0.3904,0.427,0.4929,0.5141
1633,0.3169,0.4144,0.4568,0.4807,0.5014
1634,0.3192,0.4091,0.4706,0.4871,0.5247
1635,0.3128,0.4041,0.4466,0.4969,0.5129
1636,0.3165,0.3713,0.4446,0.4792,0.5079
1637,0.3192,0.3735,0.4505,0.4934,0.5074
1638,0.3205,0.371,0.4699,0.4715,0.5169
1639,0.3224,0.3898,0.462,0.4788,0.5057
1640,0.3174,0.3981,0.4527,0.5008,0.5173
1641,0.3224,0.3875,0.46,0.5045,0.505
1642,0.3154,0.3852,0.417,0.4849,0.5133
1643,0.3216,0.4123,0.4531,0.4998,0.516
1644,0.3192,0.4025,0.4266,0.4741,0.5169
1645,0.3151,0.3919,0.4406,0.4888,0.5043
1646,0.3152,0.3714,0.4412,0.4981,0.5108
1647,0.3137,0.3621,0.4563,0.4963,0.5021
1648,0.3128,0.3994,0.4448,0.4843,0.5086
1649,0.3123,0.4046,0.46,0.4852,0.5165
1650,0.3095,0.3934,0.4369,0.4844,0.521
1651,0.3105,0.4008,0.4383,0.4829,0.5217
1652,0.317,0.4009,0.4571,0.4743,0.5068
1653,0.3248,0.4112,0.4547,0.49,0.5131
1654,0.3086,0.3955,0.4553,0.4884,0.5212
1655,0.3147,0.3924,0.4676,0.4819,0.5181
1656,0.3165,0.3913,0.4521,0.4761,0.5257
1657,0.3136,0.4189,0.4791,0.4943,0.5039
1658,0.3244,0.3758,0.4237,0.4921,0.4981
1659,0.3165,0.4087,0.4519,0.4838,0.5348
1660,0.3104,0.4021,0.4406,0.4964,0.5064
1661,0.3107,0.3948,0.4656,0.4876,0.4976
1662,0.3183,0.3846,0.4337,0.49,0.5345
1663,0.3109,0.3972,0.4335,0.4703,0.5088
1664,0.3173,0.3909,0.4493,0.4936,0.5139
1665,0.3216,0.3811,0.4535,0.505,0.5055
1666,0.319,0.3683,0.4558,0.5114,0.5228
1667,0.3211,0.4042,0.449,0.4717,0.5189
1668,0.3147,0.3985,0.4523,0.4891,0.5178
1669,0.3226,0.3947,0.462,0.4847,0.5153
1670,0.3279,0.3822,0.4381,0.497,0.515
1671,0.3266,0.3828,0.4523,0.4799,0.5088
1672,0.3102,0.402,0.459,0.5035,0.5105
1673,0.3153,0.4236,0.4636,0.4825,0.5021
1674,0.315,0.3959,0.4477,0.4875,0.5186
1675,0.3161,0.3991,0.4476,0.4895,0.4921
1676,0.3209,0.4048,0.4351,0.4999,0.5129
1677,0.3217,0.4043,0.4426,0.5119,0.5126
1678,0.3114,0.3875,0.433,0.4733,0.5154
1679,0.3193,0.3961,0.454,0.4999,0.503
1680,0.3159,0.3982,0.4557,0.4672,0.5234
1681,0.3179,0.3897,0.4466,0.489,0.5261
1682,0.3084,0.4044,0.4695,0.4871,0.5101
1683,0.324,0.4151,0.4465,0.4873,0.5326
1684,0.3182,0.4047,0.4398,0.4918,0.5248
1685,0.3134,0.3798,0.4542,0.4947,0.5162
1686,0.314,0.3994,0.4659,0.4885,0.5216
1687,0.3154,0.4134,0.4693,0.4872,0.5181
1688,0.311,0.4166,0.4495,0.4956,0.5173
1689,0.3202,0.3704,0.4499,0.4918,0.5039
1690,0.3225,0.3948,0.4346,0.4948,0.5138
1691,0.3132,0.3845,0.4449,0.4681,0.5171
1692,0.3191,0.4234,0.4173,0.4982,0.5009
1693,0.3055,0.3935,0.4651,0.4992,0.5144
1694,0.3225,0.3787,0.4617,0.4963,0.5075
1695,0.3108,0.4058,0.4573,0.486,0.5089
1696,0.3104,0.4143,0.4625,0.4899,0.5135
1697,0.317,0.3947,0.4509,0.4806,0.5185
1698,0.3214,0.4066,0.4186,0.4737,0.5222
1699,0.3195,0.3883,0.4205,0.4786,0.5086
1700,0.3223,0.402,0.4541,0.5181,0.5203
1701,0.3199,0.3779,0.4178,0.4825,0.5314
1702,0.323,0.393,0.4495,0.4813,0.506
1703,0.3173,0.4125,0.4553,0.4921,0.5158
1704,0.3137,0.3995,0.4559,0.4929,0.521
1705,0.3161,0.365,0.4528,0.5003,0.5092
1706,0.3149,0.4075,0.463,0.5092,0.5107
1707,0.3182,0.4099,0.4359,0.4817,0.5151
1708,0.3249,0.3914,0.4487,0.4883,0.5228
1709,0.3142,0.4,0.4463,0.4892,0.5156
1710,0.3192,0.3825,0.4627,0.5002,0.51
1711,0.3119,0.3922,0.4554,0.4719,0.5183
1712,0.3278,0.4109,0.456,0.5014,0.4966
1713,0.3111,0.3955,0.4466,0.5041,0.5179
1714,0.3135,0.4067,0.4594,0.4878,0.5135
1715,0.314,0.4,0.4375,0.4873,0.5248
1716,0.3199,0.3992,0.4211,0.4898,0.5088
1717,0.3213,0.3981,0.4309,0.4942,0.5151
1718,0.313,0.3868,0.4698,0.4687,0.5175
1719,0.3085,0.3818,0.4517,0.4777,0.5087
1720,0.3185,0.4139,0.4337,0.5031,0.5071
1721,0.3179,0.3763,0.4337,0.4933,0.5182
1722,0.3156,0.4184,0.4494,0.4816,0.5308
1723,0.3093,0.3924,0.4391,0.4918,0.5092
1724,0.3157,0.3737,0.4589,0.4764,0.5121
1725,0.3117,0.3909,0.4712,0.4897,0.5142
1726,0.3166,0.4172,0.4478,0.4738,0.5132
1727,0.3198,0.3847,0.4334,0.494,0.5039
1728,0.3075,0.4043,0.4312,0.4852,0.5157
1729,0.3152,0.4042,0.4523,0.4769,0.5245
1730,0.3201,0.4002,0.4645,0.4835,0.5103
1731,0.314,0.3861,0.4571,0.4761,0.5137
1732,0.3143,0.3986,0.4368,0.4724,0.5065
1733,0.3172,0.3989,0.4531,0.4832,0.523
1734,0.3144,0.3893,0.4617,0.4883,0.5017
1735,0.3105,0.3902,0.436,0.4911,0.5305
1736,0.3138,0.3767,0.4587,0.4783,0.5184
1737,0.3178,0.3952,0.4564,0.4874,0.5219
1738,0.3187,0.4151,0.4503,0.51,0.507
1739,0.3132,0.4134,0.4543,0.4917,0.5138
1740,0.3113,0.3951,0.4565,0.4803,0.5277
1741,0.3166,0.404,0.4149,0.4854,0.5128
1742,0.3151,0.4018,0.4504,0.4877,0.5175
1743,0.3204,0.3888,0.4281,0.5028,0.503
1744,0.3187,0.3657,0.4423,0.4728,0.5131
1745,0.3139,0.3619,0.4612,0.494,0.5231
1746,0.308,0.414,0.4405,0.4828,0.5109
1747,0.3171,0.3729,0.4604,0.4962,0.5166
1748,0.3187,0.3872,0.453,0.4733,0.5067
1749,0.3068,0.3793,0.4507,0.4993,0.5062
1750,0.3137,0.3874,0.4577,0.4822,0.5126
1751,0.3249,0.402,0.4228,0.486,0.5148
1752,0.3142,0.4076,0.457,0.5088,0.5147
1753,0.3102,0.4251,0.4647,0.4762,0.5205
1754,0.3167,0.4047,0.4832,0.488,0.5026
1755,0.3202,0.3961,0.4544,0.4716,0.5141
1756,0.3089,0.3914,0.4378,0.4767,0.494
1757,0.3193,0.3905,0.4645,0.4937,0.5182
1758,0.3229,0.4024,0.4681,0.4942,0.524
1759,0.3197,0.4178,0.4414,0.4888,0.4977
1760,0.3185,0.3757,0.4532,0.4955,0.5256
1761,0.312,0.3932,0.464,0.499,0.5021
1762,0.3123,0.381,0.4758,0.482,0.5131
1763,0.3073,0.4002,0.4511,0.4765,0.5139
1764,0.3212,0.3887,0.4325,0.5046,0.5386
1765,0.3162,0.4165,0.4566,0.5055,0.5168
1766,0.3361,0.4053,0.4578,0.5111,0.5196
1767,0.3194,0.42,0.4243,0.496,0.5038
1768,0.3127,0.4192,0.4449,0.4833,0.5082
1769,0.3147,0.3883,0.4497,0.4744,0.5121
1770,0.3147,0.4166,0.4605,0.4931,0.5
1771,0.3181,0.3772,0.4536,0.4981,0.512
1772,0.31,0.4028,0.4397,0.4773,0.5292
1773,0.3061,0.3867,0.4433,0.4706,0.5133
1774,0.3107,0.3854,0.4542,0.4929,0.5166
1775,0.3168,0.4138,0.4559,0.4969,0.5127
1776,0.3109,0.3698,0.4772,0.4719,0.4898
1777,0.3198,0.3928,0.4577,0.4792,0.51
1778,0.3109,0.3898,0.4439,0.4939,0.5259
1779,0.3098,0.381,0.4549,0.4722,0.5016
1780,0.3192,0.386,0.4552,0.4891,0.5152
1781,0.3133,0.3702,0.4378,0.4835,0.5045
1782,0.3077,0.4011,0.4677,0.4898,0.5155
1783,0.3033,0.3745,0.4595,0.4802,0.5253
1784,0.3162,0.4068,0.4538,0.4851,0.5261
1785,0.3101,0.4088,0.4454,0.4678,0.5097
1786,0.3159,0.3882,0.4417,0.4793,0.5027
1787,0.3203,0.3892,0.4588,0.4871,0.51
1788,0.3056,0.391,0.4695,0.4835,0.5201
1789,0.3175,0.3849,0.4371,0.4896,0.5247
1790,0.3145,0.3952,0.4694,0.4768,0.5049
1791,0.3187,0.3814,0.4539,0.4969,0.5074
1792,0.3209,0.4065,0.4444,0.4905,0.5197
1793,0.3219,0.3698,0.4539,0.4898,0.5235
1794,0.3168,0.3973,0.4348,0.4864,0.5293
1795,0.3239,0.3869,0.4479,0.472,0.5125
1796,0.3221,0.3981,0.4551,0.4817,0.5284
1797,0.3139,0.4073,0.4582,0.4964,0.5042
1798,0.3129,0.3837,0.4563,0.4961,0.5266
1799,0.3132,0.3981,0.441,0.4863,0.506
1800,0.3182,0.3997,0.4472,0.4859,0.5314
1801,0.3172,0.3793,0.4351,0.4898,0.5127
1802,0.3119,0.3866,0.4647,0.5034,0.5145
1803,0.3168,0.4007,0.4638,0.4913,0.5131
1804,0.3139,0.4053,0.4505,0.4807,0.5204
1805,0.3157,0.379,0.4577,0.4835,0.5151
1806,0.3191,0.3999,0.4766,0.5061,0.506
1807,0.312,0.4066,0.4589,0.4701,0.5066
1808,0.3157,0.4195,0.4334,0.4692,0.5199
1809,0.319,0.4114,0.4291,0.4986,0.5057
1810,0.3257,0.4074,0.4297,0.4921,0.5136
1811,0.3175,0.3946,0.464,0.4764,0.5037
1812,0.3052,0.4114,0.4403,0.473,0.5109
1813,0.3105,0.3895,0.4356,0.4767,0.5196
1814,0.3178,0.3791,0.4375,0.4758,0.5123
1815,0.316,0.4156,0.4462,0.489,0.5137
1816,0.3142,0.4101,0.4251,0.4753,0.5132
1817,0.318,0.4226,0.4309,0.4818,0.522
1818,0.3086,0.3843,0.4185,0.4877,0.5151
1819,0.3118,0.3812,0.438,0.4951,0.5146
1820,0.3248,0.397,0.4575,0.4855,0.5213
1821,0.3135,0.3868,0.4212,0.4871,0.5103
1822,0.3155,0.3901,0.4598,0.4905,0.5106
1823,0.3358,0.4152,0.4301,0.4961,0.5199
1824,0.329,0.4021,0.4612,0.4903,0.5128
1825,0.3113,0.3773,0.4427,0.4688,0.4987
1826,0.3074,0.386,0.437,0.4866,0.5148
1827,0.3115,0.3991,0.439,0.4757,0.5203
1828,0.3132,0.4043,0.4525,0.5078,0.5096
1829,0.3248,0.4021,0.4506,0.4958,0.5178
1830,0.3112,0.3854,0.4623,0.4867,0.5196
1831,0.3188,0.3976,0.4636,0.4902,0.5169
1832,0.321,0.4065,0.4559,0.4799,0.5094
1833,0.309,0.3921,0.4267,0.5073,0.5143
1834,0.3088,0.381,0.4324,0.4845,0.5178
1835,0.3135,0.378,0.4566,0.4884,0.5098
1836,0.3233,0.3871,0.4616,0.4959,0.5146
1837,0.3187,0.3807,0.4505,0.4819,0.5074
1838,0.3263,0.3683,0.447,0.4823,0.5158
1839,0.3126,0.4009,0.4506,0.4648,0.5102
1840,0.3128,0.4004,0.4733,0.4964,0.5212
1841,0.3188,0.3835,0.4666,0.4986,0.5198
1842,0.3247,0.4127,0.433,0.4933,0.5217
1843,0.3267,0.4025,0.4345,0.4707,0.5204
1844,0.3082,0.3737,0.4479,0.4931,0.5145
1845,0.3091,0.4109,0.4261,0.4991,0.5029
1846,0.3195,0.3911,0.4416,0.4891,0.5195
1847,0.3197,0.4048,0.4574,0.5001,0.5101
1848,0.3139,0.4262,0.4679,0.4869,0.5111
1849,0.3149,0.3882,0.4362,0.5088,0.5211
1850,0.3066,0.394,0.4464,0.4987,0.505
1851,0.3197,0.4013,0.4722,0.4861,0.5179
1852,0.3197,0.4077,0.4342,0.4888,0.5092
1853,0.3175,0.3838,0.4171,0.4814,0.4994
1854,0.3155,0.3998,0.4388,0.4812,0.5235
1855,0.3133,0.3907,0.4333,0.5107,0.5281
1856,0.3213,0.3805,0.4387,0.4912,0.5119
1857,0.3223,0.42,0.4387,0.4909,0.5073
1858,0.3077,0.3863,0.4399,0.4957,0.5194
1859,0.3237,0.383,0.4534,0.5007,0.5135
1860,0.3309,0.3772,0.4352,0.4925,0.5139
1861,0.3164,0.3731,0.4673,0.4993,0.5159
1862,0.3245,0.4063,0.4312,0.4771,0.5314
1863,0.3197,0.3921,0.4636,0.5044,0.5104
1864,0.3143,0.3801,0.4493,0.4763,0.5087
1865,0.3152,0.3966,0.4617,0.4914,0.4951
1866,0.3266,0.3958,0.4537,0.5039,0.5107
1867,0.3142,0.3773,0.4453,0.4983,0.5183
1868,0.3177,0.4139,0.4382,0.4984,0.5091
1869,0.306,0.4189,0.4547,0.4915,0.5164
1870,0.3234,0.3877,0.4594,0.4778,0.505
1871,0.3164,0.4032,0.4412,0.4897,0.5288
1872,0.3214,0.3909,0.4473,0.4919,0.5099
1873,0.3197,0.3902,0.4597,0.4922,0.5202
1874,0.3094,0.3924,0.4134,0.4794,0.5074
1875,0.3242,0.4003,0.4668,0.4816,0.5251
1876,0.3127,0.41,0.4698,0.4951,0.5271
1877,0.3194,0.4032,0.45,0.5011,0.5039
1878,0.322,0.3827,0.4692,0.4843,0.5223
1879,0.3149,0.4218,0.4493,0.494,0.5227
1880,0.3138,0.3826,0.4352,0.493,0.5189
1881,0.3201,0.3956,0.4759,0.4991,0.509
1882,0.3213,0.3822,0.4358,0.4968,0.5347
1883,0.3128,0.3823,0.4789,0.5001,0.522
1884,0.3194,0.4077,0.4677,0.5037,0.5202
1885,0.3082,0.4027,0.4675,0.497,0.5103
1886,0.3137,0.3766,0.4625,0.491,0.4966
1887,0.3083,0.4041,0.4351,0.4885,0.4976
1888,0.3177,0.385,0.4642,0.4855,0.5089
1889,0.3297,0.3786,0.4374,0.479,0.5099
1890,0.3154,0.4009,0.4317,0.4763,0.5203
1891,0.3134,0.4023,0.4483,0.4901,0.5079
1892,0.3236,0.4027,0.4525,0.4875,0.5061
1893,0.3166,0.402,0.4182,0.4978,0.5145
1894,0.3206,0.4078,0.4399,0.5021,0.5128
1895,0.3213,0.3779,0.474,0.4793,0.5153
1896,0.3155,0.402,0.4417,0.4866,0.5173
1897,0.3172,0.3803,0.4388,0.4983,0.5222
1898,0.3182,0.3892,0.4554,0.4994,0.5303
1899,0.32,0.3906,0.4464,0.4915,0.5115
1900,0.3121,0.3931,0.4482,0.4831,0.5148
1901,0.3249,0.3938,0.426,0.5019,0.5101
1902,0.3151,0.3986,0.4334,0.4897,0.4923
1903,0.3107,0.38,0.4443,0.4977,0.4907
1904,0.3041,0.4141,0.4747,0.4845,0.5121
1905,0.3146,0.3879,0.4684,0.4888,0.5221
1906,0.3116,0.388,0.4628,0.4838,0.5079
1907,0.3033,0.3845,0.4457,0.4761,0.5064
1908,0.314,0.4175,0.4439,0.4852,0.5292
1909,0.3274,0.3881,0.4433,0.484,0.5141
1910,0.326,0.3881,0.4633,0.4846,0.5126
1911,0.3205,0.3712,0.4473,0.5033,0.5073
1912,0.3222,0.3813,0.4432,0.4872,0.5163
1913,0.3183,0.3945,0.426,0.4895,0.5136
1914,0.3118,0.3841,0.4441,0.4946,0.5186
1915,0.3173,0.3933,0.4296,0.4714,0.529
1916,0.3095,0.408,0.4498,0.4958,0.5177
1917,0.3243,0.405,0.4302,0.4926,0.5017
1918,0.3105,0.4059,0.4361,0.4961,0.4999
1919,0.3152,0.4001,0.4488,0.4911,0.5181
1920,0.3175,0.3896,0.4863,0.4875,0.5093
1921,0.3258,0.3993,0.4625,0.4885,0.5362
1922,0.3215,0.4147,0.4563,0.4887,0.5236
1923,0.3181,0.373,0.4295,0.4822,0.5208
1924,0.3238,0.4046,0.4479,0.4889,0.517
1925,0.314,0.3694,0.4543,0.4876,0.5118
1926,0.3217,0.4077,0.4345,0.4886,0.5325
1927,0.3205,0.3962,0.4389,0.498,0.5153
1928,0.3078,0.3862,0.4276,0.4706,0.5168
1929,0.32,0.3902,0.4595,0.4838,0.503
1930,0.3182,0.3942,0.4491,0.4899,0.5094
1931,0.3206,0.4118,0.4506,0.4976,0.5392
1932,0.3153,0.4026,0.4535,0.48,0.5219
1933,0.3101,0.401,0.469,0.4947,0.5184
1934,0.3163,0.3934,0.4281,0.4922,0.5255
1935,0.3192,0.4074,0.4373,0.4881,0.511
1936,0.3193,0.3821,0.4495,0.499,0.5089
1937,0.3153,0.3785,0.4407,0.496,0.5258
1938,0.3157,0.4022,0.4303,0.4866,0.5121
1939,0.3212,0.3797,0.4469,0.5062,0.531
1940,0.3143,0.3775,0.4686,0.4887,0.511
1941,0.3164,0.4156,0.4205,0.4709,0.5222
1942,0.3102,0.3825,0.4753,0.496,0.5175
1943,0.314,0.3953,0.4311,0.4919,0.5225
1944,0.314,0.4175,0.4444,0.4935,0.5261
1945,0.3131,0.4171,0.4609,0.4901,0.5159
1946,0.3213,0.3663,0.4445,0.4859,0.5051
1947,0.3101,0.395,0.4576,0.4917,0.5222
1948,0.3191,0.3913,0.4562,0.4779,0.5148
1949,0.3137,0.3993,0.451,0.4683,0.5121
1950,0.3156,0.4084,0.4403,0.4862,0.5214
1951,0.3254,0.402,0.4563,0.5057,0.5163
1952,0.3236,0.3995,0.4544,0.4837,0.5118
1953,0.3132,0.3779,0.449,0.4785,0.5252
1954,0.3225,0.4087,0.4462,0.495,0.5077
1955,0.3164,0.3728,0.4262,0.4966,0.5183
1956,0.3139,0.3772,0.4601,0.4841,0.5276
1957,0.3157,0.3838,0.4267,0.4824,0.5065
1958,0.3212,0.3934,0.4388,0.4975,0.5145
1959,0.3183,0.3898,0.47,0.4966,0.5067
1960,0.3155,0.3979,0.4273,0.4641,0.5265
1961,0.3109,0.3883,0.4299,0.4983,0.513
1962,0.3157,0.4122,0.4671,0.472,0.5237
1963,0.3148,0.4206,0.4422,0.47,0.5091
1964,0.3196,0.4179,0.4395,0.5016,0.5092
1965,0.3243,0.3954,0.4625,0.49,0.5193
1966,0.3126,0.3714,0.4479,0.4816,0.5219
1967,0.3171,0.3826,0.447,0.4833,0.5053
1968,0.3137,0.4073,0.4451,0.4942,0.5181
1969,0.3259,0.3954,0.4488,0.4762,0.504
1970,0.3253,0.4004,0.4688,0.4883,0.506
1971,0.3191,0.4124,0.4738,0.4882,0.5019
1972,0.317,0.3966,0.4397,0.488,0.5082
1973,0.3111,0.4064,0.4375,0.5038,0.5189
1974,0.3154,0.4003,0.4362,0.4905,0.5129
1975,0.3161,0.407,0.422,0.5029,0.5123
1976,0.3158,0.3908,0.4779,0.4908,0.5172
1977,0.3264,0.3644,0.4589,0.4958,0.5062
1978,0.3209,0.382,0.4332,0.4864,0.5057
1979,0.3193,0.4089,0.4539,0.4857,0.5111
1980,0.3175,0.3946,0.4377,0.5016,0.5013
1981,0.3166,0.4015,0.4309,0.4991,0.5146
1982,0.3221,0.3981,0.4724,0.4928,0.521
1983,0.3141,0.3915,0.4562,0.4819,0.5126
1984,0.3162,0.4068,0.4378,0.5003,0.5045
1985,0.3214,0.3976,0.4363,0.5041,0.5239
1986,0.3214,0.3684,0.4565,0.4936,0.5224
1987,0.3207,0.3709,0.4591,0.4886,0.4978
1988,0.3094,0.3959,0.4607,0.4849,0.5243
1989,0.3162,0.3966,0.4545,0.4802,0.5114
1990,0.3212,0.3994,0.4474,0.4961,0.5073
1991,0.3207,0.4091,0.4442,0.4893,0.5185
1992,0.3045,0.3905,0.4513,0.4961,0.5148
1993,0.3143,0.4118,0.4557,0.4717,0.4997
1994,0.3183,0.4076,0.4578,0.4808,0.5178
1995,0.3175,0.3678,0.4399,0.4785,0.5128
1996,0.3231,0.3911,0.4543,0.4842,0.5278
1997,0.3172,0.3889,0.4571,0.4939,0.526
1998,0.3094,0.4004,0.4405,0.476,0.511
1999,0.3156,0.4142,0.4659,0.5,0.5095
2000,0.3156,0.4019,0.458,0.4907,0.5178
2001,0.3203,0.4272,0.4481,0.4808,0.5165
2002,0.3082,0.3883,0.4464,0.4988,0.521
2003,0.3197,0.3951,0.4457,0.495,0.5175
2004,0.3163,0.3871,0.4368,0.4823,0.5032
2005,0.3129,0.3774,0.4635,0.4877,0.5302
2006,0.3139,0.398,0.4541,0.4854,0.5052
2007,0.3274,0.3945,0.4549,0.4932,0.5202
2008,0.3135,0.4069,0.4492,0.481,0.4934
2009,0.3216,0.3865,0.4277,0.4685,0.5186
2010,0.3186,0.3915,0.4574,0.4973,0.5285
2011,0.3124,0.406,0.4544,0.495,0.5157
2012,0.3142,0.3922,0.438,0.4965,0.521
2013,0.3171,0.3916,0.4476,0.4905,0.524
2014,0.3193,0.3795,0.4567,0.5175,0.5127
2015,0.3179,0.3884,0.4743,0.4865,0.5212
2016,0.3232,0.421,0.4483,0.4646,0.5214
2017,0.319,0.3876,0.4446,0.493,0.515
2018,0.3187,0.3966,0.4527,0.487,0.5077
2019,0.3188,0.3794,0.4452,0.4756,0.5202
2020,0.3234,0.4109,0.4505,0.4766,0.5267
2021,0.3049,0.3889,0.4418,0.5,0.4987
2022,0.3071,0.4111,0.4656,0.4985,0.5264
2023,0.3081,0.4045,0.4362,0.4849,0.5106
2024,0.3143,0.3707,0.4626,0.4895,0.5038
2025,0.3123,0.3808,0.4638,0.4887,0.5234
2026,0.3074,0.382,0.4337,0.4713,0.519
2027,0.3198,0.4089,0.4218,0.4941,0.514
2028,0.3179,0.3928,0.4405,0.4944,0.518
2029,0.312,0.383,0.4589,0.5007,0.5181
2030,0.317,0.3777,0.4543,0.4902,0.5102
2031,0.3159,0.407,0.4778,0.4798,0.5036
2032,0.2997,0.4052,0.4498,0.4894,0.5303
2033,0.3067,0.3905,0.4436,0.5062,0.5194
2034,0.3256,0.3956,0.4592,0.4834,0.5088
2035,0.3256,0.4086,0.4396,0.4813,0.5281
2036,0.3138,0.3814,0.4636,0.4914,0.5232
2037,0.3242,0.3866,0.4289,0.4862,0.5033
2038,0.3064,0.4053,0.4752,0.4875,0.517
2039,0.3115,0.3948,0.4498,0.491,0.5124
2040,0.3113,0.4006,0.4498,0.4973,0.5166
2041,0.3237,0.403,0.4585,0.4758,0.4997
2042,0.3131,0.4019,0.4628,0.4937,0.5259
2043,0.3095,0.3771,0.4381,0.4992,0.514
2044,0.3136,0.4083,0.4255,0.4863,0.5175
2045,0.3115,0.3989,0.4421,0.484,0.513
2046,0.3234,0.3833,0.4469,0.4755,0.5062
2047,0.3142,0.4018,0.4395,0.4857,0.5132
2048,0.3123,0.4031,0.4508,0.4876,0.5139
2049,0.3137,0.399,0.4228,0.4966,0.5093
2050,0.3276,0.3986,0.4491,0.4924,0.5007
2051,0.3132,0.4074,0.4472,0.5105,0.5219
2052,0.3072,0.4125,0.4446,0.4907,0.5203
2053,0.3275,0.3948,0.4411,0.497,0.5084
2054,0.3165,0.4077,0.4616,0.5072,0.5099
2055,0.3157,0.3953,0.4384,0.485,0.5243
2056,0.3156,0.4087,0.45,0.4823,0.516
2057,0.3116,0.3981,0.4605,0.482,0.5153
2058,0.3119,0.3892,0.4569,0.5037,0.501
2059,0.3264,0.4102,0.4646,0.4882,0.5137
2060,0.3204,0.3854,0.4261,0.47,0.5161
2061,0.3197,0.4229,0.4275,0.4869,0.5352
2062,0.3167,0.3951,0.4425,0.4803,0.5127
2063,0.32,0.4056,0.4521,0.4922,0.5105
2064,0.3235,0.3999,0.4486,0.4951,0.5151
2065,0.3134,0.3797,0.4481,0.4894,0.5058
2066,0.3121,0.4257,0.4704,0.4914,0.5141
2067,0.3129,0.4097,0.4463,0.4863,0.518
2068,0.3119,0.3939,0.4685,0.5029,0.5223
2069,0.3124,0.3933,0.4475,0.4851,0.4969
2070,0.3066,0.3773,0.4349,0.5043,0.5228
2071,0.3031,0.393,0.448,0.4957,0.5241
2072,0.3118,0.4073,0.4339,0.4784,0.5121
2073,0.318,0.4078,0.4397,0.5014,0.5044
2074,0.3193,0.4149,0.4346,0.4676,0.5179
2075,0.316,0.4084,0.4572,0.4983,0.5281
2076,0.3147,0.3858,0.4308,0.4946,0.5007
2077,0.3158,0.3662,0.4736,0.4918,0.4966
2078,0.3057,0.4068,0.4513,0.4828,0.5241
2079,0.3195,0.3831,0.4514,0.4834,0.52
2080,0.3058,0.3909,0.4464,0.4855,0.51
2081,0.3171,0.3774,0.4575,0.4883,0.5152
2082,0.3206,0.3787,0.4351,0.4824,0.5112
2083,0.3109,0.3924,0.4674,0.4997,0.5179
2084,0.3172,0.4044,0.4702,0.478,0.5045
2085,0.3157,0.3977,0.4514,0.483,0.5233
2086,0.3196,0.3989,0.4669,0.5167,0.5123
2087,0.3182,0.3957,0.4386,0.4813,0.5211
2088,0.3225,0.3824,0.4324,0.4995,0.5129
2089,0.3168,0.3688,0.4606,0.4749,0.5183
2090,0.3067,0.4126,0.4555,0.4894,0.5064
2091,0.3179,0.4083,0.4716,0.4987,0.5032
2092,0.3126,0.3953,0.4362,0.4917,0.5088
2093,0.3181,0.396,0.4546,0.5043,0.505
2094,0.3152,0.3863,0.4608,0.4965,0.4896
2095,0.31,0.3964,0.4528,0.4787,0.519
2096,0.3219,0.3972,0.4537,0.4803,0.5156
2097,0.3144,0.3992,0.4473,0.4799,0.506
2098,0.3082,0.3922,0.4464,0.4865,0.5284
2099,0.3086,0.3979,0.4793,0.4849,0.5128
2100,0.3097,0.4125,0.4555,0.4843,0.5049
2101,0.3197,0.3886,0.4729,0.4977,0.5178
2102,0.3213,0.3874,0.4223,0.4919,0.5185
2103,0.3106,0.4088,0.4465,0.4963,0.5207
2104,0.3195,0.3724,0.4332,0.4943,0.5272
2105,0.3115,0.3786,0.4454,0.4932,0.5248
2106,0.3211,0.3709,0.4572,0.5053,0.5324
2107,0.3231,0.4093,0.4616,0.496,0.5013
2108,0.3242,0.3933,0.4157,0.4898,0.5146
2109,0.3203,0.3875,0.4371,0.5006,0.5228
