Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
2767,0.5071,0.5505,0.625,0.6637,0.7211,0.7739,0.8307,0.8953,0.3175
2768,0.5319,0.5445,0.642,0.6431,0.6893,0.7661,0.7662,0.8823,0.3158
2769,0.5268,0.5491,0.6244,0.655,0.7055,0.7461,0.7986,0.8431,0.3173
2770,0.5333,0.6201,0.6453,0.7099,0.7512,0.7851,0.8336,0.8999,0.3133
2771,0.4831,0.5373,0.5884,0.6202,0.659,0.7126,0.7411,0.8139,0.3265
2772,0.5127,0.5506,0.6275,0.6423,0.691,0.7653,0.7853,0.8774,0.3193
2773,0.5189,0.599,0.6137,0.6713,0.7034,0.7273,0.7569,0.8219,0.3131
2774,0.5657,0.5832,0.6513,0.67,0.7179,0.756,0.8152,0.8411,0.3213
2775,0.4789,0.5542,0.566,0.6786,0.7397,0.6696,0.8449,0.7592,0.3194
2776,0.454,0.6267,0.5695,0.6961,0.7311,0.7115,0.8026,0.8256,0.3249
2777,0.5096,0.5139,0.5942,0.6011,0.6423,0.6937,0.7284,0.7775,0.3184
2778,0.5426,0.587,0.6086,0.6848,0.7346,0.6913,0.8397,0.76,0.3165
2779,0.465,0.5574,0.5773,0.6754,0.7333,0.7152,0.8448,0.8286,0.3099
2780,0.5463,0.5912,0.6358,0.6434,0.6687,0.7339,0.7132,0.8324,0.3226
2781,0.4991,0.5285,0.599,0.6292,0.6779,0.7262,0.7765,0.8301,0.3136
2782,0.5187,0.5579,0.6124,0.6613,0.7124,0.7221,0.8255,0.8157,0.315
2783,0.5323,0.5576,0.6136,0.6242,0.6577,0.6994,0.715,0.7765,0.3055
2784,0.4357,0.5914,0.5342,0.65,0.6794,0.6576,0.7426,0.7531,0.3178
2785,0.5348,0.6253,0.6415,0.6854,0.7166,0.757,0.7698,0.8642,0.3239
2786,0.4745,0.624,0.5771,0.6904,0.7218,0.7001,0.7747,0.8089,0.3173
2787,0.461,0.5194,0.582,0.6227,0.6679,0.748,0.7656,0.8732,0.3099
2788,0.5071,0.5608,0.5935,0.6528,0.6981,0.6918,0.7833,0.7842,0.3218
2789,0.5367,0.5755,0.6203,0.6833,0.7383,0.7149,0.849,0.7955,0.3094
2790,0.523,0.5885,0.6286,0.6453,0.6723,0.7672,0.7232,0.8734,0.3177
2791,0.5675,0.609,0.6691,0.6599,0.6864,0.7943,0.7392,0.9042,0.3215
2792,0.541,0.6148,0.635,0.6804,0.7108,0.7491,0.7762,0.85,0.3115
2793,0.4654,0.5696,0.5541,0.645,0.6865,0.6583,0.7726,0.7438,0.3146
2794,0.5346,0.5947,0.6527,0.6521,0.6824,0.8039,0.7378,0.9284,0.3151
2795,0.4712,0.5065,0.6056,0.5856,0.6236,0.7816,0.6994,0.9118,0.3116
2796,0.472,0.5527,0.5946,0.6269,0.662,0.7614,0.7314,0.8848,0.3073
2797,0.5596,0.5838,0.6245,0.6281,0.6542,0.6946,0.718,0.7683,0.31
2798,0.4388,0.5574,0.5424,0.6189,0.6532,0.6645,0.7149,0.7638,0.3123
2799,0.5113,0.5237,0.6006,0.6218,0.672,0.7092,0.7677,0.8073,0.3158
2800,0.5153,0.5889,0.6206,0.6611,0.6951,0.7646,0.7554,0.8748,0.312
2801,0.5192,0.5366,0.6084,0.629,0.6712,0.7008,0.7522,0.7863,0.3128
2802,0.4664,0.6123,0.5602,0.6903,0.7262,0.6817,0.7982,0.7751,0.3225
2803,0.5191,0.5489,0.615,0.629,0.6646,0.7343,0.7418,0.8326,0.3164
2804,0.5632,0.6014,0.6502,0.6503,0.6751,0.755,0.7101,0.8456,0.3192
2805,0.5834,0.5822,0.68,0.6763,0.7219,0.805,0.812,0.9102,0.3124
2806,0.4849,0.5896,0.5851,0.6972,0.7461,0.7054,0.8538,0.8126,0.3134
2807,0.4485,0.5247,0.5566,0.6247,0.6734,0.6945,0.7799,0.7998,0.3097
2808,0.5125,0.5937,0.6018,0.6685,0.702,0.7146,0.7763,0.8104,0.3154
2809,0.5441,0.6039,0.6437,0.6701,0.7048,0.7651,0.7753,0.8704,0.3188
2810,0.5014,0.5956,0.6098,0.6447,0.6707,0.754,0.7279,0.8577,0.3156
2811,0.5699,0.6226,0.6422,0.7003,0.7393,0.7239,0.8195,0.8087,0.3319
2812,0.4749,0.4888,0.5961,0.5776,0.6237,0.7429,0.713,0.8714,0.3099
2813,0.4884,0.548,0.6082,0.6336,0.6776,0.7508,0.7628,0.8645,0.3076
2814,0.5205,0.5766,0.5957,0.6919,0.7452,0.6856,0.8498,0.7663,0.3073
2815,0.5926,0.5909,0.6834,0.6418,0.6662,0.7916,0.7173,0.8949,0.3182
2816,0.5143,0.5351,0.62,0.6076,0.6489,0.7465,0.7282,0.849,0.3071
2817,0.5696,0.6014,0.6458,0.679,0.721,0.7274,0.8022,0.8144,0.3197
2818,0.5286,0.5546,0.6358,0.6327,0.6726,0.7661,0.7549,0.8776,0.3206
2819,0.5656,0.5933,0.6606,0.6832,0.7295,0.7794,0.813,0.8836,0.3258
2820,0.5901,0.5815,0.6731,0.6716,0.7207,0.7683,0.8251,0.8603,0.3072
2821,0.452,0.6043,0.5614,0.6605,0.687,0.6988,0.7369,0.8063,0.3247
2822,0.5219,0.5158,0.631,0.6039,0.6519,0.7585,0.7438,0.8696,0.3093
2823,0.5905,0.5,0.68,0.5871,0.6321,0.7924,0.7181,0.8882,0.311
2824,0.4976,0.5756,0.5843,0.6377,0.6702,0.6953,0.7467,0.7846,0.3169
2825,0.5826,0.5537,0.6829,0.6469,0.6893,0.8036,0.7821,0.9069,0.3163
2826,0.4581,0.5763,0.5645,0.6318,0.6612,0.686,0.7222,0.7881,0.3179
2827,0.5936,0.4969,0.6831,0.5714,0.6098,0.8001,0.6845,0.9023,0.2983
2828,0.5186,0.5637,0.6409,0.6261,0.6533,0.7832,0.7064,0.9035,0.3145
2829,0.5582,0.5449,0.6492,0.633,0.6746,0.7397,0.7561,0.8391,0.3157
2830,0.495,0.5519,0.6077,0.6504,0.698,0.7539,0.786,0.8618,0.3207
2831,0.5376,0.6288,0.6501,0.7007,0.7403,0.7848,0.8187,0.9028,0.312
2832,0.4334,0.5592,0.5338,0.6189,0.6573,0.6417,0.7299,0.743,0.3186
2833,0.5341,0.6242,0.654,0.7162,0.7607,0.8056,0.8419,0.9245,0.321
2834,0.57,0.5374,0.647,0.6317,0.6782,0.7294,0.768,0.8149,0.3102
2835,0.5849,0.5874,0.6773,0.6479,0.6828,0.781,0.7502,0.8824,0.3218
2836,0.5583,0.5809,0.6547,0.6731,0.7197,0.7758,0.8043,0.8759,0.31
2837,0.4951,0.6389,0.581,0.721,0.7635,0.6687,0.8538,0.7551,0.3214
2838,0.4719,0.6039,0.5644,0.7046,0.752,0.6757,0.8467,0.7679,0.3098
2839,0.5823,0.5023,0.6674,0.5824,0.6218,0.7571,0.7017,0.8443,0.3162
2840,0.5871,0.5272,0.6833,0.6256,0.6735,0.7959,0.7609,0.8956,0.3146
2841,0.5252,0.5281,0.6319,0.6454,0.7037,0.7771,0.8057,0.8843,0.3213
2842,0.5438,0.5151,0.6112,0.6028,0.6452,0.6769,0.7307,0.749,0.3136
2843,0.5275,0.5816,0.6239,0.6564,0.6954,0.7374,0.7715,0.8419,0.3226
2844,0.5359,0.6326,0.6248,0.7019,0.737,0.7213,0.8067,0.8167,0.3159
2845,0.5092,0.5511,0.6236,0.6603,0.712,0.7637,0.8198,0.878,0.3148
2846,0.5048,0.5228,0.6114,0.6273,0.6778,0.7452,0.7709,0.8561,0.314
2847,0.4917,0.6418,0.6105,0.7099,0.7472,0.7515,0.8191,0.8672,0.327
2848,0.5871,0.5278,0.6668,0.6168,0.6569,0.7548,0.7463,0.8408,0.3041
2849,0.5856,0.5632,0.6755,0.6503,0.694,0.7733,0.7867,0.8662,0.3198
2850,0.4957,0.5526,0.5863,0.6109,0.6433,0.6858,0.7109,0.7749,0.3102
2851,0.5394,0.5963,0.6516,0.6784,0.7178,0.7941,0.8013,0.9135,0.3204
2852,0.4807,0.6217,0.6024,0.6977,0.7338,0.7492,0.8146,0.871,0.318
2853,0.5289,0.6331,0.6097,0.6879,0.7159,0.7046,0.7824,0.7874,0.3201
2854,0.5908,0.654,0.6792,0.7254,0.7602,0.7739,0.836,0.87,0.3118
2855,0.5314,0.6333,0.6312,0.6968,0.7289,0.7584,0.7829,0.8604,0.3199
2856,0.5483,0.562,0.6389,0.6485,0.6965,0.7546,0.799,0.8553,0.3134
2857,0.5621,0.5059,0.6703,0.6005,0.6403,0.7918,0.7323,0.9063,0.3121
2858,0.5132,0.6354,0.6262,0.7243,0.7676,0.7656,0.8479,0.8811,0.318
2859,0.4813,0.5884,0.6173,0.6603,0.696,0.7937,0.7701,0.923,0.3191
2860,0.49,0.6284,0.6072,0.686,0.7153,0.7621,0.7725,0.8743,0.3109
2861,0.4813,0.5539,0.5917,0.6464,0.6877,0.7277,0.776,0.8392,0.3143
2862,0.5222,0.6076,0.621,0.6881,0.7298,0.7298,0.8197,0.8302,0.3281
2863,0.5281,0.6152,0.601,0.6966,0.7355,0.68,0.8236,0.7621,0.319
2864,0.5476,0.5479,0.6126,0.6509,0.6991,0.6762,0.8017,0.7515,0.3143
2865,0.4367,0.5532,0.5469,0.665,0.7172,0.6893,0.8112,0.7923,0.3229
2866,0.5547,0.6077,0.6422,0.6907,0.7307,0.7538,0.8085,0.848,0.3248
2867,0.5013,0.626,0.6285,0.697,0.7304,0.7891,0.8025,0.9139,0.3189
2868,0.5108,0.5174,0.6203,0.6228,0.668,0.7479,0.7601,0.8646,0.3107
2869,0.5018,0.5471,0.6168,0.6282,0.6758,0.7451,0.7739,0.8554,0.316
2870,0.4409,0.5791,0.547,0.6776,0.7301,0.6803,0.838,0.7851,0.3167
2871,0.5541,0.553,0.649,0.6445,0.6901,0.7592,0.7899,0.8617,0.3143
2872,0.5448,0.6127,0.6436,0.6982,0.7407,0.7717,0.8327,0.8704,0.3167
2873,0.5024,0.6065,0.6248,0.6675,0.6982,0.7768,0.7539,0.9047,0.309
2874,0.4632,0.5261,0.5641,0.6079,0.6505,0.6815,0.7376,0.7798,0.3112
2875,0.4265,0.6497,0.5332,0.7216,0.7638,0.6536,0.841,0.752,0.3158
2876,0.5181,0.5785,0.5969,0.6486,0.6896,0.6849,0.7806,0.7606,0.309
2877,0.5106,0.5977,0.5979,0.6956,0.7444,0.7024,0.8458,0.7946,0.3198
2878,0.5637,0.5462,0.6267,0.6174,0.6522,0.6926,0.716,0.7606,0.309
2879,0.5644,0.5544,0.651,0.6264,0.6586,0.7398,0.7312,0.8354,0.3118
2880,0.5583,0.6473,0.6706,0.7297,0.7701,0.8056,0.8556,0.9206,0.3154
2881,0.498,0.589,0.6296,0.6507,0.6832,0.7946,0.746,0.9243,0.3211
2882,0.4625,0.5711,0.5526,0.6204,0.6478,0.6602,0.7047,0.7563,0.3242
2883,0.5476,0.5687,0.6197,0.6299,0.6608,0.7075,0.7246,0.7829,0.3145
2884,0.5918,0.568,0.6911,0.6869,0.7453,0.8056,0.8575,0.9107,0.3188
2885,0.4951,0.5257,0.5889,0.6021,0.6371,0.6928,0.7077,0.7872,0.3244
2886,0.5492,0.6368,0.6294,0.7062,0.7374,0.7167,0.8109,0.8015,0.3236
2887,0.4899,0.5813,0.5847,0.6514,0.6809,0.6937,0.742,0.7951,0.3141
2888,0.5657,0.5755,0.6423,0.6676,0.7145,0.7068,0.8179,0.7844,0.306
2889,0.5637,0.5364,0.6764,0.6038,0.6434,0.8097,0.7184,0.9214,0.3073
2890,0.5299,0.5586,0.6044,0.6639,0.7183,0.6875,0.8344,0.7643,0.3123
2891,0.5058,0.5312,0.6281,0.6161,0.6559,0.7915,0.7428,0.9133,0.3226
2892,0.4762,0.5516,0.607,0.6682,0.7228,0.7753,0.8354,0.9036,0.3153
2893,0.5269,0.5301,0.6093,0.6128,0.6533,0.716,0.7462,0.8056,0.3164
2894,0.4575,0.556,0.5578,0.6409,0.6897,0.6815,0.7979,0.7849,0.3066
2895,0.5565,0.5434,0.6295,0.6172,0.6574,0.7033,0.7352,0.7824,0.3138
2896,0.5592,0.6177,0.6681,0.6656,0.69,0.803,0.7398,0.9165,0.3095
2897,0.4419,0.5308,0.557,0.6202,0.6687,0.6862,0.7629,0.7923,0.3079
2898,0.5511,0.5022,0.6247,0.5837,0.6255,0.7086,0.706,0.7864,0.3167
2899,0.5322,0.5925,0.6335,0.6652,0.7046,0.7593,0.7785,0.8601,0.3157
2900,0.5183,0.562,0.6167,0.6327,0.6648,0.73,0.7288,0.8313,0.3167
2901,0.54,0.6224,0.6549,0.6701,0.6963,0.7996,0.7492,0.9141,0.3252
2902,0.5531,0.5786,0.6255,0.6578,0.6919,0.6981,0.76,0.7789,0.3214
2903,0.5028,0.5532,0.5843,0.6112,0.6446,0.6728,0.7133,0.7551,0.3158
2904,0.4634,0.5513,0.5595,0.6689,0.724,0.6679,0.8284,0.7649,0.3128
2905,0.4636,0.5902,0.5628,0.6593,0.6964,0.6864,0.767,0.7866,0.3235
2906,0.569,0.5396,0.6589,0.6581,0.714,0.7787,0.8297,0.8745,0.3202
2907,0.5554,0.5375,0.6275,0.6351,0.6954,0.7151,0.8067,0.7946,0.3057
2908,0.5567,0.5858,0.6294,0.6778,0.7274,0.7158,0.8112,0.7912,0.3113
2909,0.5584,0.5799,0.6401,0.6379,0.6662,0.7345,0.722,0.8202,0.3158
2910,0.4892,0.5693,0.5791,0.6298,0.6616,0.6857,0.7198,0.7748,0.3156
2911,0.5199,0.6342,0.6359,0.7155,0.7524,0.7797,0.8265,0.9029,0.3157
2912,0.4954,0.593,0.5921,0.6833,0.7244,0.7148,0.8141,0.816,0.315
2913,0.5287,0.6031,0.6084,0.6531,0.678,0.7003,0.7382,0.7865,0.3187
2914,0.562,0.6075,0.6679,0.6779,0.7145,0.7912,0.786,0.8979,0.3192
2915,0.5836,0.5922,0.6914,0.6481,0.6777,0.8248,0.7398,0.9309,0.3161
2916,0.4663,0.5399,0.5738,0.6424,0.6939,0.7196,0.779,0.8226,0.3081
2917,0.5473,0.5165,0.6586,0.5965,0.6393,0.7977,0.7295,0.9084,0.3016
2918,0.5214,0.5569,0.6357,0.6426,0.6888,0.7704,0.7779,0.8828,0.3149
2919,0.4405,0.5219,0.5512,0.5994,0.6381,0.679,0.7185,0.7905,0.3158
2920,0.5537,0.6159,0.6349,0.7127,0.7555,0.7224,0.8476,0.8061,0.3235
2921,0.5559,0.5043,0.6692,0.5864,0.6267,0.8079,0.7008,0.9213,0.3192
2922,0.5854,0.563,0.6805,0.6496,0.6961,0.781,0.8001,0.88,0.3124
2923,0.553,0.5306,0.6341,0.5952,0.628,0.7147,0.7028,0.8092,0.3126
2924,0.5412,0.5408,0.6536,0.6235,0.6721,0.7789,0.7751,0.8869,0.3097
2925,0.4623,0.5844,0.5608,0.6754,0.7167,0.6618,0.8031,0.7607,0.3202
2926,0.5563,0.5468,0.6467,0.6256,0.6626,0.7458,0.7404,0.8368,0.3109
2927,0.4912,0.491,0.5746,0.5811,0.6236,0.6716,0.6996,0.7575,0.3081
2928,0.5312,0.6202,0.6123,0.6845,0.7194,0.7061,0.7898,0.793,0.326
2929,0.5632,0.6179,0.6473,0.7039,0.7462,0.7334,0.8418,0.8222,0.3162
2930,0.5142,0.5153,0.5933,0.6073,0.6474,0.6814,0.7328,0.7637,0.3136
2931,0.4473,0.5377,0.567,0.6047,0.6403,0.7176,0.7137,0.8273,0.311
2932,0.5643,0.6026,0.6537,0.6591,0.6881,0.759,0.7486,0.8583,0.3157
2933,0.4594,0.6104,0.5968,0.6614,0.6831,0.7728,0.725,0.9026,0.3188
2934,0.5113,0.5064,0.6018,0.6013,0.6506,0.7111,0.748,0.8031,0.3063
2935,0.4764,0.526,0.5947,0.6153,0.6604,0.7538,0.7493,0.8731,0.3302
2936,0.4336,0.6502,0.5345,0.7356,0.7762,0.6494,0.855,0.7478,0.3198
2937,0.5659,0.5594,0.6687,0.6114,0.6392,0.8051,0.6942,0.9034,0.315
2938,0.4431,0.5427,0.5444,0.6478,0.7019,0.6707,0.8062,0.7697,0.3196
2939,0.5445,0.5458,0.6363,0.6237,0.6658,0.7409,0.7496,0.832,0.3112
2940,0.466,0.6221,0.5918,0.677,0.7058,0.749,0.7553,0.8723,0.3185
2941,0.5849,0.5585,0.6711,0.6645,0.7167,0.766,0.8369,0.8624,0.3189
2942,0.5236,0.6271,0.6291,0.7245,0.7667,0.7692,0.8504,0.88,0.3284
2943,0.4634,0.628,0.5975,0.7031,0.7447,0.759,0.8335,0.8807,0.316
2944,0.4387,0.5595,0.546,0.6543,0.7033,0.6804,0.8017,0.7858,0.327
2945,0.5218,0.5786,0.6026,0.652,0.6941,0.6927,0.7779,0.7744,0.3227
2946,0.5322,0.5534,0.6131,0.6281,0.6682,0.6994,0.7415,0.782,0.3003
2947,0.5086,0.5353,0.6009,0.6086,0.6422,0.7187,0.7086,0.8205,0.3131
2948,0.5669,0.5351,0.6425,0.6368,0.6904,0.7273,0.8019,0.8065,0.3161
2949,0.5296,0.6102,0.6311,0.6575,0.6845,0.7548,0.742,0.8533,0.3235
2950,0.4835,0.5699,0.6071,0.6431,0.6783,0.7707,0.7661,0.8919,0.3272
2951,0.5111,0.6441,0.6168,0.7291,0.771,0.7635,0.8528,0.8722,0.3208
2952,0.5424,0.613,0.6569,0.6648,0.6918,0.7999,0.7449,0.9186,0.3097
2953,0.5142,0.5834,0.601,0.6603,0.7049,0.705,0.8007,0.7923,0.3149
2954,0.5874,0.5703,0.6788,0.6658,0.715,0.7814,0.8097,0.8782,0.3123
2955,0.564,0.5279,0.6597,0.6148,0.6549,0.7788,0.726,0.8792,0.3053
2956,0.5932,0.5125,0.689,0.5845,0.6241,0.8092,0.7089,0.9106,0.3127
2957,0.5824,0.587,0.6572,0.6525,0.6809,0.7293,0.7483,0.8104,0.319
2958,0.5779,0.5154,0.658,0.5977,0.6355,0.7525,0.7144,0.835,0.3217
2959,0.444,0.5809,0.5407,0.6824,0.7325,0.6582,0.8382,0.7524,0.3211
2960,0.5446,0.4914,0.6513,0.5829,0.6263,0.7898,0.7021,0.9004,0.3111
2961,0.5202,0.5803,0.6256,0.6435,0.6691,0.7631,0.7228,0.8701,0.324
2962,0.4639,0.5637,0.5598,0.6347,0.6782,0.6571,0.7631,0.7527,0.3104
2963,0.5026,0.5678,0.602,0.6413,0.6778,0.7168,0.7508,0.8153,0.3229
2964,0.4609,0.5506,0.5836,0.6499,0.6996,0.7458,0.7908,0.8721,0.3231
2965,0.4378,0.5433,0.5477,0.606,0.6358,0.6805,0.7009,0.7849,0.315
2966,0.5518,0.6033,0.6448,0.7,0.7465,0.7389,0.8418,0.8372,0.3204
2967,0.5262,0.5817,0.627,0.6554,0.6944,0.7474,0.7652,0.8516,0.3149
2968,0.4817,0.6307,0.5856,0.7013,0.7394,0.7107,0.8211,0.8131,0.3203
2969,0.4943,0.5141,0.6255,0.5907,0.6303,0.7969,0.7032,0.9239,0.3164
2970,0.5588,0.5375,0.6627,0.6215,0.6604,0.7884,0.7307,0.8975,0.3159
2971,0.4909,0.5372,0.5925,0.6427,0.6949,0.7062,0.7976,0.8107,0.3143
2972,0.5696,0.5443,0.6641,0.6139,0.6468,0.7638,0.7147,0.867,0.3135
2973,0.5568,0.5796,0.6361,0.6258,0.6537,0.7169,0.7036,0.799,0.3165
2974,0.5445,0.5441,0.6129,0.6086,0.6449,0.697,0.7119,0.7769,0.3203
2975,0.5449,0.5391,0.6252,0.6163,0.658,0.7024,0.7479,0.7888,0.3078
2976,0.5051,0.5741,0.6038,0.6606,0.7035,0.7252,0.7865,0.8379,0.3114
2977,0.4749,0.5987,0.585,0.6549,0.6786,0.712,0.729,0.821,0.3204
2978,0.5552,0.5289,0.63,0.5948,0.6326,0.7174,0.703,0.7954,0.3123
2979,0.4718,0.5495,0.5728,0.6453,0.6918,0.7,0.7852,0.7963,0.3115
2980,0.5598,0.627,0.6375,0.6988,0.732,0.7233,0.7949,0.8035,0.3171
2981,0.4889,0.6168,0.5938,0.6928,0.7261,0.7365,0.7958,0.8443,0.3238
2982,0.4655,0.6229,0.591,0.6968,0.7355,0.7593,0.8156,0.8833,0.326
2983,0.5495,0.5795,0.6602,0.6855,0.7347,0.7882,0.8339,0.9045,0.311
2984,0.5325,0.6465,0.6252,0.7231,0.7629,0.738,0.8336,0.8365,0.3204
2985,0.582,0.5893,0.659,0.6489,0.6793,0.737,0.7483,0.8202,0.3194
2986,0.5581,0.5937,0.6674,0.6671,0.7043,0.7983,0.7766,0.9087,0.3138
2987,0.5053,0.5491,0.6082,0.6376,0.6862,0.7338,0.7797,0.8398,0.313
2988,0.5463,0.5858,0.6123,0.6634,0.7015,0.6947,0.785,0.7638,0.3064
2989,0.5178,0.5397,0.5976,0.6153,0.6516,0.6983,0.7249,0.7894,0.3148
2990,0.584,0.6184,0.6747,0.7076,0.747,0.7875,0.8347,0.8857,0.3126
2991,0.4571,0.6164,0.5607,0.7163,0.7585,0.6873,0.8508,0.7956,0.3133
2992,0.5905,0.572,0.6897,0.6457,0.6878,0.8068,0.7696,0.9092,0.3236
2993,0.5197,0.6401,0.6472,0.7068,0.7395,0.7993,0.8025,0.9192,0.3213
2994,0.5727,0.5789,0.6716,0.6635,0.7023,0.7735,0.7864,0.8693,0.3077
2995,0.4726,0.5326,0.5753,0.6512,0.7141,0.6996,0.8338,0.7979,0.3218
2996,0.494,0.6483,0.5901,0.715,0.7525,0.7093,0.8252,0.8086,0.3217
2997,0.4408,0.5491,0.5457,0.6502,0.6954,0.6715,0.7834,0.7681,0.3131
2998,0.5948,0.5928,0.6806,0.6737,0.7117,0.7855,0.7832,0.8749,0.3128
2999,0.5191,0.6284,0.5946,0.7129,0.7557,0.6821,0.8362,0.7612,0.3128
3000,0.4625,0.5534,0.5559,0.615,0.6526,0.6732,0.7338,0.7635,0.3151
3001,0.536,0.5381,0.632,0.6169,0.6606,0.7423,0.753,0.8423,0.3185
3002,0.5983,0.5336,0.6982,0.6294,0.6775,0.8184,0.778,0.9212,0.3023
3003,0.4447,0.5752,0.5473,0.6344,0.6607,0.669,0.7116,0.772,0.3229
3004,0.5231,0.5496,0.6061,0.6446,0.6888,0.7058,0.7763,0.7931,0.3128
3005,0.498,0.5521,0.58,0.6408,0.6823,0.6758,0.7733,0.7644,0.314
3006,0.5181,0.5637,0.6318,0.6269,0.6602,0.7752,0.7236,0.8889,0.3246
3007,0.4708,0.5676,0.5892,0.6566,0.7,0.7233,0.7897,0.8337,0.3085
3008,0.5418,0.6175,0.6228,0.6711,0.6998,0.714,0.7558,0.8012,0.3192
3009,0.5242,0.6399,0.6379,0.6989,0.7298,0.7728,0.8009,0.8851,0.3235
3010,0.449,0.6097,0.5541,0.6978,0.74,0.6904,0.8201,0.7902,0.3184
3011,0.5679,0.5425,0.6562,0.6572,0.7112,0.7583,0.8121,0.8619,0.31
3012,0.4973,0.5921,0.5822,0.669,0.7076,0.6834,0.7885,0.7722,0.3214
3013,0.4933,0.5812,0.5988,0.6681,0.7107,0.7192,0.796,0.8209,0.3173
3014,0.5442,0.4946,0.6127,0.5697,0.6136,0.6897,0.6963,0.7655,0.3089
3015,0.5899,0.6353,0.6879,0.6968,0.7261,0.8099,0.7969,0.917,0.3253
3016,0.5735,0.5137,0.6785,0.6085,0.6504,0.8138,0.7304,0.9216,0.3077
3017,0.497,0.6015,0.6217,0.6535,0.6782,0.7807,0.7294,0.9085,0.3264
3018,0.5368,0.4919,0.628,0.5717,0.6136,0.7429,0.7016,0.8411,0.3081
3019,0.5201,0.5761,0.623,0.6585,0.7049,0.7446,0.785,0.8495,0.3102
3020,0.5582,0.6197,0.6251,0.6726,0.6988,0.7006,0.7438,0.7744,0.312
3021,0.4617,0.6302,0.5817,0.7009,0.736,0.7286,0.7928,0.8504,0.3139
3022,0.5431,0.5025,0.6523,0.5831,0.6237,0.7719,0.7046,0.8825,0.3139
3023,0.4396,0.6501,0.5374,0.7141,0.7516,0.6539,0.8299,0.7467,0.3207
3024,0.5403,0.5687,0.6152,0.619,0.6483,0.7039,0.7102,0.785,0.3083
3025,0.4325,0.572,0.5316,0.6611,0.7093,0.6452,0.8057,0.7449,0.3122
3026,0.5232,0.5204,0.5928,0.5945,0.6333,0.6722,0.7149,0.7489,0.3122
3027,0.5399,0.5505,0.6193,0.6124,0.6509,0.7037,0.7215,0.7906,0.3054
3028,0.5146,0.6357,0.6227,0.7063,0.744,0.756,0.8223,0.8708,0.3204
3029,0.5359,0.557,0.6101,0.6511,0.697,0.7011,0.7982,0.786,0.3126
3030,0.5119,0.5889,0.5822,0.6986,0.7529,0.6707,0.8547,0.7509,0.3193
3031,0.4868,0.5326,0.5697,0.5947,0.6237,0.6747,0.6888,0.7542,0.3134
3032,0.578,0.568,0.6627,0.6144,0.6402,0.7632,0.7045,0.8667,0.3156
3033,0.5674,0.5459,0.6638,0.6148,0.6526,0.7715,0.7281,0.8748,0.3116
3034,0.5811,0.62,0.6694,0.6976,0.7385,0.7723,0.8229,0.8696,0.326
3035,0.5864,0.6423,0.6861,0.7206,0.7612,0.8035,0.8412,0.9055,0.3252
3036,0.5316,0.5269,0.6149,0.6324,0.6887,0.7133,0.8013,0.7969,0.3063
3037,0.5403,0.5914,0.6269,0.6687,0.7097,0.7249,0.7947,0.814,0.3179
3038,0.5311,0.5823,0.6499,0.6486,0.6801,0.7915,0.7345,0.9079,0.3208
3039,0.4868,0.4875,0.5951,0.5938,0.6382,0.72,0.7233,0.829,0.3169
3040,0.466,0.572,0.5852,0.6335,0.6659,0.7538,0.7307,0.8777,0.3182
3041,0.5638,0.5387,0.6384,0.6045,0.6379,0.7216,0.7029,0.8093,0.311
3042,0.568,0.6053,0.6624,0.6723,0.7068,0.7712,0.7719,0.8747,0.3199
3043,0.4716,0.5258,0.5676,0.6116,0.6577,0.6928,0.7479,0.7902,0.3122
3044,0.5585,0.5176,0.6349,0.6024,0.6435,0.7209,0.732,0.8008,0.3089
3045,0.5531,0.5586,0.631,0.6504,0.6954,0.7222,0.7802,0.8048,0.317
3046,0.5518,0.5806,0.6681,0.6756,0.7221,0.8022,0.8093,0.9126,0.3118
3047,0.4504,0.4966,0.5455,0.5881,0.6287,0.67,0.7166,0.7627,0.3184
3048,0.4527,0.5458,0.5557,0.6113,0.6424,0.6814,0.7151,0.7852,0.3086
3049,0.6013,0.5612,0.6793,0.6162,0.647,0.7784,0.7082,0.8718,0.321
3050,0.5504,0.6184,0.6596,0.6693,0.6988,0.7948,0.7562,0.9061,0.3191
3051,0.5526,0.5295,0.649,0.5904,0.6267,0.7643,0.6951,0.8682,0.3161
3052,0.5176,0.6447,0.6124,0.7255,0.7655,0.7147,0.8459,0.8169,0.3156
3053,0.4495,0.5887,0.5799,0.6531,0.6867,0.7369,0.7447,0.8563,0.3082
3054,0.511,0.6059,0.6211,0.6735,0.7088,0.7725,0.7804,0.8771,0.3161
3055,0.5887,0.5305,0.6785,0.6297,0.6834,0.7786,0.7833,0.8725,0.3092
3056,0.5215,0.532,0.6251,0.6227,0.6697,0.7462,0.781,0.8553,0.3145
3057,0.5422,0.6111,0.6277,0.6956,0.7388,0.7212,0.8311,0.8048,0.3136
3058,0.5399,0.5886,0.638,0.664,0.7036,0.7665,0.7814,0.8725,0.3136
3059,0.568,0.5948,0.649,0.6696,0.7076,0.7338,0.7849,0.8229,0.3177
3060,0.4596,0.5558,0.5671,0.6144,0.6472,0.7108,0.7099,0.8166,0.3028
