Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
66,0.5902,0.5616,0.6921,0.6804,0.7357,0.8111,0.8456,0.9166,0.3113
67,0.5483,0.5886,0.639,0.671,0.7178,0.7508,0.7972,0.8504,0.3143
68,0.4945,0.6054,0.5832,0.6461,0.6673,0.6817,0.71,0.7644,0.3191
69,0.4923,0.525,0.5848,0.6135,0.6621,0.7079,0.7639,0.8006,0.3158
70,0.5317,0.5389,0.6294,0.6661,0.7227,0.7464,0.8316,0.8537,0.3143
71,0.5305,0.545,0.6441,0.6107,0.6447,0.7786,0.7055,0.8978,0.3186
72,0.598,0.613,0.6975,0.6742,0.7015,0.8174,0.7621,0.9283,0.3127
73,0.5732,0.541,0.6579,0.6249,0.6698,0.7486,0.7658,0.8343,0.3131
74,0.5453,0.6312,0.6097,0.7137,0.7541,0.6745,0.8288,0.7453,0.3216
75,0.4835,0.6247,0.603,0.7153,0.7594,0.7534,0.8528,0.872,0.319
76,0.5103,0.5075,0.6074,0.5909,0.6323,0.7268,0.7167,0.8182,0.3218
77,0.5676,0.4958,0.6681,0.5801,0.6251,0.7906,0.7236,0.8916,0.3138
78,0.5611,0.6341,0.67,0.7209,0.7584,0.7941,0.8279,0.9089,0.3165
79,0.5782,0.5865,0.6718,0.6571,0.6918,0.7777,0.7611,0.8762,0.3167
80,0.539,0.6128,0.6181,0.6999,0.7423,0.7065,0.8269,0.7938,0.312
81,0.521,0.543,0.6028,0.6473,0.6989,0.7167,0.8015,0.8029,0.3081
82,0.578,0.5587,0.6658,0.6662,0.7174,0.7694,0.8247,0.8601,0.3131
83,0.553,0.5493,0.6461,0.6143,0.6476,0.7514,0.7161,0.8394,0.3121
84,0.5063,0.5253,0.5959,0.6102,0.6509,0.7089,0.7395,0.7968,0.3101
85,0.5135,0.6143,0.6174,0.707,0.7498,0.7431,0.8362,0.8595,0.3144
86,0.5278,0.5537,0.6238,0.6606,0.7153,0.7274,0.8289,0.8275,0.3169
87,0.4773,0.5183,0.5788,0.6047,0.6508,0.7017,0.7405,0.8051,0.3151
88,0.5342,0.5872,0.6361,0.6711,0.7131,0.7584,0.7945,0.8616,0.311
89,0.5008,0.661,0.6002,0.7415,0.78,0.7137,0.8592,0.8051,0.322
90,0.5506,0.5728,0.6473,0.676,0.7238,0.7609,0.8213,0.8614,0.3125
91,0.5205,0.5903,0.6396,0.6737,0.7176,0.7753,0.8127,0.8943,0.3286
92,0.5085,0.6092,0.6166,0.669,0.6963,0.7513,0.7509,0.859,0.3221
93,0.4917,0.5338,0.6031,0.6315,0.6866,0.7301,0.7845,0.8459,0.303
94,0.4707,0.573,0.5628,0.6499,0.6894,0.6764,0.7612,0.7726,0.3162
95,0.4571,0.5808,0.5521,0.6401,0.6709,0.673,0.7401,0.7728,0.3185
96,0.5012,0.5632,0.6205,0.6726,0.7258,0.7706,0.8372,0.894,0.3143
97,0.5878,0.6228,0.6753,0.6916,0.7343,0.7738,0.8218,0.8682,0.3192
98,0.4709,0.6236,0.5671,0.6952,0.7325,0.676,0.8005,0.7677,0.3187
99,0.5703,0.5383,0.6461,0.6091,0.641,0.7308,0.712,0.8134,0.3128
