Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
118,0.3209,0.3345,0.362,0.3888,0.3905
119,0.3112,0.3432,0.3785,0.3781,0.4146
120,0.3106,0.3311,0.3661,0.3705,0.4152
121,0.3146,0.3307,0.3496,0.3802,0.419
122,0.3235,0.3519,0.3789,0.4015,0.4143
123,0.3235,0.3267,0.3442,0.3975,0.4391
124,0.3096,0.3394,0.3582,0.3971,0.4476
125,0.326,0.3425,0.3555,0.4032,0.416
126,0.3193,0.3309,0.3797,0.3871,0.407
127,0.3187,0.3469,0.3828,0.3981,0.4166
128,0.3033,0.3397,0.3524,0.3851,0.4233
129,0.3247,0.3412,0.3579,0.4062,0.4114
130,0.3188,0.3366,0.3601,0.386,0.413
131,0.3172,0.3355,0.3674,0.396,0.4101
132,0.3112,0.3468,0.3574,0.3788,0.4135
133,0.3215,0.3332,0.377,0.3898,0.4308
134,0.32,0.3432,0.3816,0.3939,0.4393
135,0.318,0.3408,0.3776,0.3979,0.4129
136,0.3151,0.3417,0.3791,0.3754,0.416
137,0.3145,0.3234,0.3667,0.3857,0.4443
138,0.3186,0.3371,0.3582,0.3975,0.4209
139,0.313,0.3409,0.3708,0.3972,0.4167
140,0.3104,0.344,0.3417,0.3951,0.4479
141,0.3114,0.3373,0.367,0.3887,0.4433
142,0.3168,0.3402,0.346,0.3996,0.4154
143,0.3065,0.3361,0.3606,0.3851,0.4121
144,0.3166,0.3421,0.3801,0.3912,0.4187
145,0.3186,0.3392,0.3737,0.391,0.4149
146,0.3091,0.3237,0.3609,0.3865,0.4268
147,0.3102,0.3311,0.3722,0.3897,0.4086
148,0.3227,0.3327,0.3776,0.4074,0.4105
149,0.3122,0.3215,0.4013,0.3758,0.4267
150,0.3241,0.3288,0.3502,0.3959,0.4349
151,0.3233,0.3412,0.3546,0.3987,0.4379
152,0.3144,0.323,0.3534,0.3851,0.4179
153,0.3134,0.3543,0.3551,0.4013,0.4244
154,0.3213,0.3341,0.3466,0.4196,0.4506
155,0.315,0.3211,0.3495,0.3846,0.4332
156,0.3113,0.3354,0.3714,0.3815,0.4542
157,0.3032,0.3289,0.3658,0.3739,0.4508
158,0.3217,0.35,0.3478,0.4094,0.3965
159,0.3235,0.3356,0.3632,0.4097,0.4197
160,0.3107,0.3326,0.3746,0.3783,0.4201
161,0.321,0.3291,0.3624,0.3952,0.4524
162,0.3171,0.3332,0.3404,0.4067,0.4169
163,0.328,0.3413,0.3719,0.3943,0.4133
164,0.3135,0.3336,0.3504,0.3852,0.4171
165,0.3165,0.3433,0.3603,0.3941,0.4212
166,0.3118,0.343,0.3722,0.3894,0.4204
167,0.3085,0.3234,0.3526,0.3853,0.4222
168,0.3136,0.339,0.3785,0.395,0.4018
169,0.3179,0.335,0.3672,0.4025,0.4373
170,0.3083,0.3268,0.3429,0.3956,0.4117
171,0.3263,0.3429,0.3792,0.3945,0.43
172,0.3169,0.3425,0.3572,0.3978,0.4279
173,0.3178,0.3272,0.3509,0.3941,0.4358
174,0.321,0.329,0.3518,0.3958,0.4117
175,0.3191,0.332,0.3582,0.4106,0.4255
176,0.3111,0.3358,0.363,0.3819,0.4246
177,0.319,0.3235,0.3608,0.3908,0.4066
178,0.3159,0.3409,0.3634,0.3848,0.3989
179,0.3231,0.3319,0.3806,0.4064,0.4069
180,0.3173,0.342,0.339,0.3985,0.4269
181,0.3107,0.3256,0.3372,0.3882,0.4233
182,0.3222,0.3258,0.3712,0.4045,0.4054
183,0.312,0.331,0.3628,0.3878,0.4158
184,0.3104,0.327,0.3529,0.3789,0.4434
185,0.327,0.3444,0.3508,0.399,0.4171
186,0.3125,0.3185,0.3492,0.3946,0.3997
187,0.3228,0.3381,0.3555,0.406,0.4249
188,0.3164,0.3235,0.3499,0.3978,0.4242
189,0.3164,0.3486,0.3898,0.3856,0.4354
190,0.3149,0.3346,0.3573,0.396,0.4266
191,0.3165,0.3497,0.362,0.4034,0.4393
192,0.3115,0.3229,0.3703,0.3687,0.4174
193,0.3085,0.3458,0.3799,0.3819,0.429
194,0.3147,0.3355,0.3428,0.3856,0.4205
195,0.3044,0.3285,0.3602,0.3789,0.4141
196,0.3101,0.3336,0.365,0.3701,0.4019
197,0.3227,0.3416,0.3508,0.3945,0.4031
198,0.3244,0.3458,0.3678,0.4049,0.4184
199,0.321,0.338,0.3421,0.4198,0.4065
200,0.3269,0.3377,0.3552,0.4201,0.4318
201,0.3213,0.3328,0.3696,0.3992,0.4187
202,0.3083,0.3352,0.3528,0.3905,0.423
203,0.3215,0.3278,0.3575,0.3911,0.4033
204,0.3071,0.3343,0.3611,0.3825,0.4091
205,0.3087,0.3265,0.3629,0.3762,0.4185
206,0.3162,0.3218,0.3645,0.3796,0.4454
207,0.3202,0.3314,0.3717,0.3788,0.4144
208,0.3238,0.3278,0.3731,0.4097,0.4332
209,0.3127,0.3402,0.3815,0.3967,0.4324
210,0.3129,0.3304,0.37,0.3919,0.4148
211,0.3219,0.3547,0.3688,0.4155,0.4206
212,0.3199,0.3319,0.3702,0.395,0.4234
213,0.3243,0.3295,0.3667,0.3957,0.4088
214,0.3166,0.3444,0.3693,0.3992,0.4293
215,0.3232,0.3484,0.3597,0.4014,0.4138
216,0.3186,0.332,0.3616,0.3803,0.4254
217,0.3193,0.3244,0.36,0.3901,0.4287
218,0.3242,0.3363,0.3688,0.4261,0.4386
219,0.3133,0.336,0.3813,0.4013,0.4183
220,0.3215,0.3376,0.3623,0.4034,0.4021
221,0.3116,0.3312,0.3748,0.3962,0.3937
222,0.3146,0.3195,0.3607,0.3881,0.4308
223,0.3157,0.345,0.3818,0.3969,0.4363
224,0.3182,0.3301,0.391,0.3828,0.4118
225,0.3104,0.3279,0.3569,0.3935,0.4202
226,0.3152,0.3267,0.3595,0.4088,0.4384
227,0.3215,0.3428,0.376,0.3804,0.4334
228,0.3197,0.3395,0.3493,0.401,0.4573
229,0.312,0.3219,0.3556,0.382,0.4125
230,0.3168,0.3316,0.3725,0.3936,0.4309
231,0.3204,0.3379,0.3742,0.4094,0.4057
232,0.3159,0.3317,0.3627,0.3904,0.4205
233,0.3239,0.3397,0.3367,0.3947,0.4287
234,0.3112,0.3225,0.3772,0.3806,0.4271
235,0.3207,0.3328,0.3656,0.4084,0.4076
236,0.314,0.3271,0.386,0.3754,0.4257
237,0.3149,0.3254,0.3745,0.3966,0.4145
238,0.3079,0.3322,0.3664,0.3754,0.4294
239,0.3114,0.3369,0.3704,0.3819,0.4337
240,0.3182,0.3194,0.3563,0.3826,0.4109
241,0.3173,0.339,0.3543,0.4025,0.4108
242,0.305,0.3398,0.3419,0.385,0.4085
243,0.3091,0.3368,0.3621,0.3945,0.4262
244,0.3279,0.3384,0.3643,0.4276,0.4236
245,0.3085,0.3427,0.3825,0.3862,0.4293
246,0.3175,0.3336,0.3475,0.4052,0.4068
247,0.3226,0.335,0.3705,0.4164,0.4248
248,0.3152,0.3341,0.3555,0.3907,0.421
249,0.3162,0.3277,0.3722,0.4127,0.4143
250,0.3105,0.3316,0.3473,0.3924,0.4305
251,0.3217,0.3439,0.36,0.4078,0.4081
252,0.3079,0.3394,0.3425,0.3729,0.437
253,0.3273,0.3451,0.353,0.3921,0.4254
254,0.3185,0.3285,0.3797,0.4054,0.4451
255,0.3211,0.3388,0.3596,0.3963,0.4054
256,0.3142,0.3395,0.367,0.4045,0.4146
257,0.3203,0.3385,0.3856,0.3846,0.4114
258,0.3138,0.3418,0.3711,0.3789,0.4323
259,0.3114,0.3263,0.3581,0.3696,0.4075
260,0.3069,0.3264,0.3533,0.3805,0.4271
261,0.308,0.3389,0.3487,0.3802,0.4136
262,0.3195,0.3368,0.3698,0.4165,0.4295
263,0.3179,0.3326,0.3741,0.4015,0.4038
264,0.3158,0.3428,0.3882,0.4051,0.4168
265,0.3205,0.3352,0.336,0.3932,0.4138
