Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
1604,0.3194,0.3454,0.3474,0.4,0.4295
1605,0.3238,0.3354,0.3647,0.4238,0.4554
1606,0.3123,0.3367,0.3614,0.3894,0.4316
1607,0.3234,0.3256,0.3507,0.4014,0.4465
1608,0.3222,0.3356,0.3602,0.3876,0.4201
1609,0.318,0.3483,0.3581,0.393,0.4144
1610,0.3088,0.3416,0.3466,0.3769,0.4227
1611,0.3128,0.3267,0.3791,0.3942,0.4066
1612,0.313,0.3276,0.3556,0.3948,0.427
1613,0.3128,0.3386,0.3693,0.3914,0.4296
1614,0.3219,0.3369,0.3602,0.4095,0.4357
1615,0.3195,0.3418,0.3538,0.3822,0.4206
1616,0.319,0.33,0.3716,0.4055,0.4397
1617,0.3219,0.341,0.3847,0.397,0.4243
1618,0.3149,0.3284,0.3757,0.3965,0.4141
1619,0.3144,0.3334,0.3747,0.3847,0.4192
1620,0.3158,0.3306,0.366,0.3923,0.413
1621,0.3132,0.3341,0.3537,0.3763,0.4358
1622,0.3048,0.3326,0.35,0.3922,0.4308
1623,0.3176,0.3403,0.3639,0.4,0.4157
1624,0.3028,0.3261,0.3583,0.3791,0.4284
1625,0.3176,0.3449,0.3742,0.3939,0.4076
1626,0.3187,0.3421,0.3502,0.4108,0.4193
1627,0.3207,0.3405,0.3384,0.3947,0.4124
1628,0.3206,0.3319,0.3512,0.3896,0.4212
1629,0.319,0.3248,0.3809,0.4147,0.4483
1630,0.3091,0.3381,0.3816,0.3787,0.399
1631,0.3077,0.3262,0.3454,0.3802,0.4232
1632,0.3118,0.335,0.3716,0.3907,0.4173
1633,0.3169,0.3249,0.3703,0.4,0.4444
1634,0.3192,0.344,0.3787,0.4045,0.4088
1635,0.3128,0.339,0.3472,0.3905,0.4214
1636,0.3165,0.3478,0.3681,0.3968,0.4083
1637,0.3192,0.3325,0.3474,0.41,0.4182
1638,0.3205,0.3255,0.3613,0.4166,0.4441
1639,0.3224,0.3432,0.3896,0.4086,0.4347
1640,0.3174,0.3292,0.3553,0.3957,0.4211
1641,0.3224,0.3303,0.3614,0.4203,0.4282
1642,0.3154,0.3446,0.354,0.3798,0.41
1643,0.3216,0.3455,0.3461,0.4104,0.4268
1644,0.3192,0.337,0.3798,0.3894,0.4239
1645,0.3151,0.3225,0.3492,0.3819,0.4425
1646,0.3152,0.327,0.3447,0.4075,0.4103
1647,0.3137,0.3354,0.3458,0.3967,0.4257
1648,0.3128,0.3382,0.3671,0.3883,0.4236
1649,0.3123,0.3351,0.3768,0.3869,0.4209
1650,0.3095,0.3448,0.366,0.3883,0.4342
1651,0.3105,0.3356,0.3828,0.3967,0.4118
1652,0.317,0.343,0.357,0.3919,0.4441
1653,0.3248,0.3292,0.3717,0.3951,0.4384
1654,0.3086,0.3522,0.3566,0.3929,0.4163
1655,0.3147,0.3436,0.3486,0.3845,0.4186
1656,0.3165,0.3336,0.3595,0.4035,0.4237
1657,0.3136,0.335,0.3734,0.3727,0.4168
1658,0.3244,0.3501,0.3791,0.3929,0.4142
1659,0.3165,0.3338,0.3663,0.4093,0.4068
1660,0.3104,0.3369,0.3538,0.3696,0.4447
1661,0.3107,0.3136,0.3482,0.4,0.4058
1662,0.3183,0.3217,0.364,0.3867,0.4178
1663,0.3109,0.3328,0.3612,0.3829,0.4274
1664,0.3173,0.3333,0.3417,0.4074,0.4276
1665,0.3216,0.3349,0.3516,0.3916,0.4323
1666,0.319,0.3447,0.3729,0.3883,0.4201
1667,0.3211,0.3403,0.3777,0.4085,0.4363
1668,0.3147,0.3265,0.3538,0.3941,0.4071
1669,0.3226,0.3321,0.3693,0.3934,0.4291
1670,0.3279,0.3356,0.3665,0.416,0.4318
1671,0.3266,0.3367,0.3596,0.4158,0.4265
1672,0.3102,0.3313,0.3471,0.3851,0.4242
1673,0.3153,0.3328,0.3597,0.3854,0.4075
1674,0.315,0.3366,0.3611,0.4054,0.4421
1675,0.3161,0.3379,0.3611,0.411,0.4462
1676,0.3209,0.3278,0.3537,0.3922,0.4141
1677,0.3217,0.3359,0.3744,0.3958,0.4318
1678,0.3114,0.3231,0.3693,0.3805,0.4092
1679,0.3193,0.3506,0.3441,0.3997,0.4484
1680,0.3159,0.3463,0.3739,0.3832,0.4128
1681,0.3179,0.3398,0.3552,0.412,0.4255
1682,0.3084,0.3361,0.3578,0.3826,0.4354
1683,0.324,0.3261,0.3464,0.4164,0.4304
1684,0.3182,0.3399,0.3619,0.4103,0.4192
1685,0.3134,0.3217,0.3694,0.3855,0.4447
1686,0.314,0.3241,0.3656,0.3791,0.4147
1687,0.3154,0.3342,0.3504,0.4009,0.4226
1688,0.311,0.3467,0.3724,0.3879,0.4342
1689,0.3202,0.3471,0.3468,0.4073,0.4213
1690,0.3225,0.3279,0.3861,0.4126,0.4301
1691,0.3132,0.3358,0.3757,0.4005,0.442
1692,0.3191,0.341,0.385,0.3813,0.4184
1693,0.3055,0.3326,0.3714,0.3635,0.4445
1694,0.3225,0.3197,0.3671,0.3874,0.4156
1695,0.3108,0.3233,0.3553,0.3738,0.4223
1696,0.3104,0.3371,0.3627,0.3857,0.4197
1697,0.317,0.3306,0.3738,0.3837,0.4421
1698,0.3214,0.3435,0.3665,0.393,0.4322
1699,0.3195,0.3296,0.3381,0.4093,0.4237
1700,0.3223,0.3371,0.3553,0.411,0.4304
1701,0.3199,0.3276,0.3726,0.4061,0.4327
1702,0.323,0.3419,0.3568,0.4094,0.4238
1703,0.3173,0.3409,0.3856,0.3951,0.4307
1704,0.3137,0.3358,0.3664,0.4034,0.4418
1705,0.3161,0.3339,0.3695,0.3836,0.4117
1706,0.3149,0.3399,0.3691,0.3781,0.4324
1707,0.3182,0.3397,0.348,0.3889,0.4231
1708,0.3249,0.3466,0.365,0.3973,0.4384
1709,0.3142,0.3341,0.3519,0.3991,0.43
1710,0.3192,0.3375,0.3644,0.3919,0.4007
1711,0.3119,0.3364,0.3473,0.3979,0.4327
1712,0.3278,0.3381,0.3454,0.4068,0.4085
1713,0.3111,0.34,0.3544,0.4001,0.4266
1714,0.3135,0.3316,0.3692,0.3796,0.4096
1715,0.314,0.3487,0.3607,0.3901,0.4452
1716,0.3199,0.3579,0.382,0.3836,0.443
1717,0.3213,0.3444,0.3659,0.3881,0.427
1718,0.313,0.3384,0.3603,0.3861,0.4397
1719,0.3085,0.3357,0.3502,0.3789,0.4163
1720,0.3185,0.3396,0.3657,0.3949,0.4268
1721,0.3179,0.3557,0.3642,0.4064,0.4146
1722,0.3156,0.3469,0.3441,0.387,0.4436
1723,0.3093,0.3344,0.3533,0.3784,0.4277
1724,0.3157,0.344,0.3585,0.406,0.4573
1725,0.3117,0.3256,0.3605,0.3744,0.4088
1726,0.3166,0.3381,0.3601,0.4021,0.4346
1727,0.3198,0.3384,0.3506,0.401,0.4269
1728,0.3075,0.3401,0.3587,0.3686,0.4029
1729,0.3152,0.3472,0.3346,0.3983,0.4241
1730,0.3201,0.359,0.3433,0.3981,0.4002
1731,0.314,0.343,0.3474,0.3943,0.4344
1732,0.3143,0.325,0.3658,0.372,0.4084
1733,0.3172,0.3276,0.3747,0.3905,0.418
1734,0.3144,0.3504,0.3655,0.3919,0.4307
1735,0.3105,0.339,0.373,0.3776,0.4211
1736,0.3138,0.3393,0.3747,0.3769,0.4407
1737,0.3178,0.3467,0.3565,0.3986,0.4105
1738,0.3187,0.3279,0.3683,0.4062,0.4272
1739,0.3132,0.3288,0.3598,0.3853,0.4285
1740,0.3113,0.3442,0.3604,0.3925,0.4248
1741,0.3166,0.3423,0.352,0.3957,0.4427
1742,0.3151,0.3364,0.3736,0.3952,0.4345
1743,0.3204,0.3323,0.3684,0.4006,0.4214
1744,0.3187,0.3468,0.3777,0.4021,0.4177
1745,0.3139,0.3287,0.3701,0.3916,0.4397
1746,0.308,0.3457,0.3597,0.377,0.4153
1747,0.3171,0.3461,0.3663,0.4046,0.4229
1748,0.3187,0.3245,0.3444,0.388,0.4053
1749,0.3068,0.3516,0.3506,0.3672,0.451
1750,0.3137,0.3334,0.3813,0.3802,0.4256
1751,0.3249,0.3291,0.3692,0.4129,0.399
1752,0.3142,0.331,0.3769,0.3853,0.4032
1753,0.3102,0.3428,0.3793,0.3799,0.442
1754,0.3167,0.3365,0.3483,0.3855,0.429
1755,0.3202,0.3313,0.3453,0.386,0.4289
1756,0.3089,0.3458,0.3453,0.394,0.4433
1757,0.3193,0.3251,0.3621,0.3935,0.4239
1758,0.3229,0.3248,0.3841,0.4149,0.4317
1759,0.3197,0.3263,0.3584,0.3898,0.4077
1760,0.3185,0.334,0.369,0.3881,0.4124
1761,0.312,0.3385,0.3536,0.3935,0.4395
1762,0.3123,0.3497,0.3435,0.3873,0.4121
1763,0.3073,0.3356,0.3808,0.3837,0.4359
1764,0.3212,0.3384,0.3422,0.4083,0.4159
1765,0.3162,0.3407,0.3544,0.3962,0.4541
1766,0.3361,0.342,0.3614,0.4289,0.4164
1767,0.3194,0.3436,0.3409,0.3979,0.4131
1768,0.3127,0.3376,0.3487,0.4082,0.4321
1769,0.3147,0.3281,0.3604,0.4035,0.4306
1770,0.3147,0.3341,0.3601,0.3955,0.4049
1771,0.3181,0.3332,0.3541,0.3983,0.428
1772,0.31,0.3259,0.3664,0.3857,0.4214
1773,0.3061,0.337,0.3776,0.3766,0.4357
1774,0.3107,0.3344,0.3532,0.3921,0.4094
1775,0.3168,0.3423,0.3766,0.4055,0.4278
1776,0.3109,0.3438,0.3527,0.3837,0.424
1777,0.3198,0.3365,0.3543,0.388,0.4323
1778,0.3109,0.3432,0.3612,0.3761,0.4248
1779,0.3098,0.3236,0.3655,0.3901,0.4106
1780,0.3192,0.3455,0.3512,0.4129,0.3976
1781,0.3133,0.3342,0.3761,0.3914,0.411
1782,0.3077,0.342,0.3565,0.3833,0.396
1783,0.3033,0.3404,0.3678,0.374,0.4335
1784,0.3162,0.3449,0.3576,0.3906,0.4259
1785,0.3101,0.3313,0.3411,0.3789,0.4085
1786,0.3159,0.3384,0.3687,0.3932,0.432
1787,0.3203,0.3413,0.3449,0.4104,0.4316
1788,0.3056,0.3499,0.3665,0.3726,0.4376
1789,0.3175,0.3303,0.3836,0.3968,0.4232
1790,0.3145,0.3319,0.3604,0.3921,0.425
1791,0.3187,0.331,0.3754,0.3909,0.4349
1792,0.3209,0.3291,0.3515,0.3994,0.424
1793,0.3219,0.3475,0.3541,0.4175,0.4083
1794,0.3168,0.3317,0.3781,0.3945,0.4209
1795,0.3239,0.3247,0.3793,0.383,0.4053
1796,0.3221,0.3308,0.3597,0.4155,0.4136
1797,0.3139,0.3354,0.3867,0.3814,0.4213
1798,0.3129,0.3416,0.365,0.3922,0.4147
1799,0.3132,0.3451,0.3533,0.3958,0.4272
1800,0.3182,0.3255,0.3629,0.4069,0.4303
1801,0.3172,0.352,0.3474,0.4084,0.4443
1802,0.3119,0.3426,0.3632,0.3908,0.3906
1803,0.3168,0.3274,0.3684,0.3975,0.4325
1804,0.3139,0.3326,0.3521,0.4027,0.4235
1805,0.3157,0.3361,0.3542,0.3874,0.4078
1806,0.3191,0.3232,0.3617,0.4007,0.407
1807,0.312,0.3276,0.3911,0.3881,0.4205
1808,0.3157,0.3417,0.3527,0.4026,0.4305
1809,0.319,0.3322,0.3483,0.3871,0.4285
1810,0.3257,0.3394,0.3655,0.396,0.4276
1811,0.3175,0.3394,0.3593,0.3835,0.4191
1812,0.3052,0.3399,0.3745,0.3791,0.4242
1813,0.3105,0.3359,0.3682,0.3978,0.4245
1814,0.3178,0.3357,0.393,0.3998,0.3938
1815,0.316,0.3362,0.3546,0.4127,0.4211
1816,0.3142,0.3449,0.3607,0.383,0.4065
1817,0.318,0.3298,0.3708,0.4071,0.4303
1818,0.3086,0.3386,0.3798,0.3795,0.4287
1819,0.3118,0.3304,0.3453,0.3834,0.4252
1820,0.3248,0.3508,0.3899,0.4159,0.4471
1821,0.3135,0.3313,0.3647,0.3912,0.4259
1822,0.3155,0.3416,0.3814,0.3942,0.4185
1823,0.3358,0.3329,0.347,0.4188,0.4237
1824,0.329,0.3217,0.3529,0.4134,0.4459
1825,0.3113,0.3328,0.3599,0.379,0.4371
1826,0.3074,0.3407,0.3518,0.3869,0.4478
1827,0.3115,0.3305,0.3545,0.3777,0.4028
1828,0.3132,0.341,0.3438,0.3836,0.4243
1829,0.3248,0.3511,0.351,0.4068,0.423
1830,0.3112,0.3349,0.3639,0.3983,0.4245
1831,0.3188,0.3233,0.368,0.3996,0.4304
1832,0.321,0.343,0.379,0.4065,0.4413
1833,0.309,0.3326,0.3764,0.3908,0.4449
1834,0.3088,0.3378,0.3635,0.3811,0.4113
1835,0.3135,0.3345,0.3571,0.3966,0.4199
1836,0.3233,0.3342,0.3599,0.4175,0.4337
1837,0.3187,0.338,0.3614,0.3909,0.4118
1838,0.3263,0.334,0.3611,0.4213,0.4278
1839,0.3126,0.3296,0.3588,0.3923,0.4365
1840,0.3128,0.3348,0.3558,0.3777,0.4225
1841,0.3188,0.3482,0.3523,0.3957,0.4197
1842,0.3247,0.3348,0.355,0.4012,0.4385
1843,0.3267,0.3382,0.352,0.4161,0.4067
1844,0.3082,0.3377,0.3748,0.3746,0.4003
1845,0.3091,0.3319,0.3806,0.3869,0.4311
1846,0.3195,0.3382,0.3522,0.4021,0.4305
1847,0.3197,0.3357,0.361,0.4042,0.4221
1848,0.3139,0.3519,0.3705,0.3897,0.4197
1849,0.3149,0.3378,0.3558,0.3955,0.4239
1850,0.3066,0.3344,0.3434,0.3764,0.424
1851,0.3197,0.3376,0.3753,0.3964,0.4139
1852,0.3197,0.3294,0.36,0.4011,0.4143
1853,0.3175,0.3386,0.3486,0.3885,0.4242
1854,0.3155,0.3431,0.3591,0.406,0.4318
1855,0.3133,0.3465,0.3589,0.3967,0.4294
1856,0.3213,0.3355,0.3494,0.3957,0.4413
1857,0.3223,0.3285,0.3721,0.3999,0.4288
1858,0.3077,0.3401,0.3525,0.3737,0.4555
1859,0.3237,0.3387,0.3848,0.39,0.4237
1860,0.3309,0.3201,0.3612,0.3997,0.4125
1861,0.3164,0.3328,0.3666,0.3885,0.4234
1862,0.3245,0.3302,0.3697,0.3979,0.4212
1863,0.3197,0.3413,0.3716,0.4002,0.4067
1864,0.3143,0.3372,0.3642,0.387,0.417
1865,0.3152,0.3377,0.3679,0.3789,0.4144
1866,0.3266,0.3211,0.3696,0.4156,0.4124
1867,0.3142,0.3219,0.3428,0.3812,0.4347
1868,0.3177,0.3348,0.369,0.4094,0.4263
1869,0.306,0.3515,0.3775,0.3887,0.4124
1870,0.3234,0.3369,0.3501,0.4006,0.42
1871,0.3164,0.3361,0.3503,0.3949,0.4246
1872,0.3214,0.3321,0.3694,0.4065,0.4297
1873,0.3197,0.3505,0.3687,0.4056,0.4366
1874,0.3094,0.3247,0.3516,0.3908,0.4488
1875,0.3242,0.3501,0.3738,0.4006,0.4057
1876,0.3127,0.3432,0.378,0.3924,0.4466
1877,0.3194,0.3504,0.3511,0.3916,0.405
1878,0.322,0.3169,0.3409,0.3919,0.4218
1879,0.3149,0.3567,0.3359,0.3803,0.4155
1880,0.3138,0.3387,0.3834,0.4014,0.4272
1881,0.3201,0.3463,0.3483,0.4076,0.4127
1882,0.3213,0.3415,0.3625,0.4022,0.4111
1883,0.3128,0.3303,0.3745,0.3919,0.4351
1884,0.3194,0.3476,0.3455,0.4191,0.4043
1885,0.3082,0.3383,0.341,0.3913,0.415
1886,0.3137,0.3348,0.3517,0.3808,0.4085
1887,0.3083,0.3415,0.374,0.4021,0.426
1888,0.3177,0.3365,0.3595,0.3997,0.4102
1889,0.3297,0.3348,0.3702,0.4109,0.4133
1890,0.3154,0.345,0.382,0.4043,0.4278
1891,0.3134,0.3419,0.3548,0.3847,0.4059
1892,0.3236,0.3379,0.3396,0.3924,0.4086
1893,0.3166,0.3197,0.3693,0.3973,0.4286
1894,0.3206,0.3489,0.3464,0.3905,0.4368
1895,0.3213,0.335,0.3487,0.3959,0.4082
1896,0.3155,0.3254,0.3546,0.3778,0.4511
1897,0.3172,0.3329,0.3801,0.3853,0.4086
1898,0.3182,0.3488,0.3821,0.387,0.4054
1899,0.32,0.3503,0.3784,0.3996,0.4168
1900,0.3121,0.3308,0.383,0.3802,0.4216
1901,0.3249,0.3286,0.3613,0.3965,0.4176
1902,0.3151,0.3358,0.3582,0.3943,0.4205
1903,0.3107,0.3421,0.3493,0.3928,0.4409
1904,0.3041,0.3242,0.3939,0.3794,0.4435
1905,0.3146,0.3454,0.347,0.379,0.4266
1906,0.3116,0.3479,0.364,0.3933,0.4125
1907,0.3033,0.3432,0.3604,0.3895,0.4409
1908,0.314,0.3368,0.38,0.4076,0.4242
1909,0.3274,0.3524,0.3772,0.3959,0.4112
1910,0.326,0.3408,0.3481,0.4004,0.4138
1911,0.3205,0.334,0.3612,0.4206,0.4265
1912,0.3222,0.3382,0.3481,0.3938,0.405
1913,0.3183,0.3436,0.3593,0.3903,0.4305
1914,0.3118,0.3204,0.3441,0.3953,0.399
1915,0.3173,0.3478,0.3541,0.3985,0.4138
1916,0.3095,0.3283,0.3808,0.3899,0.4206
1917,0.3243,0.3243,0.3439,0.4169,0.4269
1918,0.3105,0.3288,0.3698,0.382,0.4167
1919,0.3152,0.3353,0.3578,0.3952,0.4315
1920,0.3175,0.3431,0.3582,0.3926,0.4163
1921,0.3258,0.3225,0.3565,0.4059,0.4294
1922,0.3215,0.3388,0.3868,0.3916,0.434
1923,0.3181,0.3375,0.3551,0.3936,0.4275
1924,0.3238,0.356,0.3497,0.3907,0.4038
1925,0.314,0.3379,0.3852,0.3883,0.4326
1926,0.3217,0.3551,0.3327,0.4081,0.4063
1927,0.3205,0.338,0.3433,0.3868,0.4164
1928,0.3078,0.3476,0.3656,0.3832,0.445
1929,0.32,0.3298,0.3531,0.3997,0.4313
1930,0.3182,0.333,0.3751,0.3925,0.4118
1931,0.3206,0.3319,0.3794,0.3999,0.4176
1932,0.3153,0.3364,0.3841,0.3844,0.4292
1933,0.3101,0.3416,0.3577,0.3932,0.4401
1934,0.3163,0.3305,0.366,0.3851,0.4216
1935,0.3192,0.3421,0.3578,0.3921,0.4268
1936,0.3193,0.3322,0.3602,0.4026,0.44
1937,0.3153,0.3334,0.3805,0.3964,0.4435
1938,0.3157,0.3267,0.3549,0.4073,0.4265
1939,0.3212,0.3379,0.3448,0.4127,0.4183
1940,0.3143,0.335,0.3681,0.3796,0.4313
1941,0.3164,0.3319,0.3587,0.3892,0.3989
1942,0.3102,0.3316,0.3484,0.3837,0.4224
1943,0.314,0.3401,0.3566,0.3822,0.437
1944,0.314,0.3265,0.3683,0.3968,0.4069
1945,0.3131,0.3215,0.3528,0.3988,0.4276
1946,0.3213,0.3407,0.3598,0.4005,0.4357
1947,0.3101,0.3456,0.3621,0.3828,0.4305
1948,0.3191,0.3417,0.3662,0.4025,0.4378
1949,0.3137,0.3328,0.3455,0.3874,0.4365
1950,0.3156,0.3434,0.348,0.3817,0.4136
1951,0.3254,0.3398,0.3593,0.4141,0.4474
1952,0.3236,0.3151,0.3736,0.3888,0.4376
1953,0.3132,0.3439,0.3561,0.3901,0.44
1954,0.3225,0.3263,0.369,0.3959,0.4245
1955,0.3164,0.3368,0.3554,0.3812,0.4376
1956,0.3139,0.3344,0.3763,0.3958,0.424
1957,0.3157,0.3491,0.374,0.4,0.4336
1958,0.3212,0.3343,0.3522,0.3954,0.4355
1959,0.3183,0.3384,0.3688,0.3883,0.4099
1960,0.3155,0.3462,0.3583,0.3922,0.4285
1961,0.3109,0.3481,0.3564,0.3785,0.4216
1962,0.3157,0.3338,0.3747,0.4098,0.4538
1963,0.3148,0.3389,0.3561,0.3712,0.4319
1964,0.3196,0.3418,0.3469,0.4067,0.4356
1965,0.3243,0.3254,0.3646,0.3897,0.4336
1966,0.3126,0.3422,0.335,0.3862,0.43
1967,0.3171,0.328,0.3604,0.4033,0.4106
1968,0.3137,0.337,0.3546,0.3748,0.4445
1969,0.3259,0.3359,0.3617,0.4165,0.4476
1970,0.3253,0.3418,0.3562,0.4224,0.4183
1971,0.3191,0.3328,0.3638,0.3922,0.4156
1972,0.317,0.3417,0.3574,0.3862,0.3994
1973,0.3111,0.3392,0.3634,0.3721,0.4269
1974,0.3154,0.3394,0.3638,0.3936,0.4319
1975,0.3161,0.3431,0.342,0.3942,0.4196
1976,0.3158,0.3316,0.3723,0.386,0.4558
1977,0.3264,0.3286,0.3658,0.3987,0.4163
1978,0.3209,0.3258,0.3701,0.4033,0.4085
1979,0.3193,0.3444,0.3609,0.4079,0.4178
1980,0.3175,0.3452,0.3735,0.3854,0.4334
1981,0.3166,0.3355,0.3691,0.4066,0.4431
1982,0.3221,0.3409,0.3647,0.3957,0.4207
1983,0.3141,0.3375,0.366,0.3995,0.4121
1984,0.3162,0.3351,0.3693,0.3987,0.4191
1985,0.3214,0.3416,0.3755,0.395,0.4257
1986,0.3214,0.3287,0.3492,0.3945,0.4192
1987,0.3207,0.3409,0.3554,0.4104,0.4253
1988,0.3094,0.341,0.3553,0.3777,0.4275
1989,0.3162,0.3393,0.3712,0.3902,0.4391
1990,0.3212,0.3502,0.3569,0.3949,0.4192
1991,0.3207,0.3273,0.3355,0.3976,0.4265
1992,0.3045,0.3516,0.3683,0.389,0.4241
1993,0.3143,0.3482,0.3811,0.3963,0.4136
1994,0.3183,0.3459,0.351,0.3991,0.4527
1995,0.3175,0.3372,0.3825,0.3886,0.4528
1996,0.3231,0.3431,0.341,0.4152,0.4353
1997,0.3172,0.3206,0.3478,0.3888,0.4265
1998,0.3094,0.3382,0.3614,0.3999,0.4132
1999,0.3156,0.3488,0.3703,0.3946,0.4297
2000,0.3156,0.3246,0.3543,0.3911,0.4084
2001,0.3203,0.3283,0.3567,0.3948,0.4323
2002,0.3082,0.3421,0.3699,0.3804,0.4313
2003,0.3197,0.3403,0.3814,0.4027,0.4099
2004,0.3163,0.3375,0.3607,0.409,0.4235
2005,0.3129,0.3312,0.363,0.3718,0.4265
2006,0.3139,0.3312,0.3566,0.3797,0.4351
2007,0.3274,0.3445,0.373,0.3976,0.4341
2008,0.3135,0.3246,0.3761,0.3773,0.39
2009,0.3216,0.3492,0.3631,0.399,0.4244
2010,0.3186,0.3396,0.3517,0.4198,0.4023
2011,0.3124,0.3229,0.3634,0.4071,0.4375
2012,0.3142,0.3388,0.369,0.4016,0.4311
2013,0.3171,0.3336,0.364,0.4054,0.4469
2014,0.3193,0.3395,0.3508,0.3857,0.417
2015,0.3179,0.3423,0.351,0.3969,0.4344
2016,0.3232,0.3358,0.3625,0.4158,0.4292
2017,0.319,0.3362,0.3529,0.4035,0.4216
2018,0.3187,0.3528,0.3518,0.4137,0.4169
2019,0.3188,0.3235,0.3525,0.3969,0.4294
2020,0.3234,0.3504,0.374,0.422,0.4307
2021,0.3049,0.3344,0.3688,0.3689,0.4329
2022,0.3071,0.328,0.3534,0.3656,0.4019
2023,0.3081,0.3348,0.3805,0.3808,0.425
2024,0.3143,0.3291,0.3514,0.4052,0.4295
2025,0.3123,0.347,0.3606,0.4019,0.4359
2026,0.3074,0.3314,0.3571,0.3953,0.4212
2027,0.3198,0.3364,0.3604,0.4002,0.4333
2028,0.3179,0.3302,0.3707,0.4083,0.429
2029,0.312,0.3352,0.3559,0.3816,0.4159
2030,0.317,0.3329,0.3613,0.3912,0.4179
2031,0.3159,0.335,0.3628,0.4073,0.4423
2032,0.2997,0.337,0.3699,0.3714,0.4282
2033,0.3067,0.3305,0.3603,0.396,0.4311
2034,0.3256,0.3257,0.3506,0.4011,0.4373
2035,0.3256,0.3434,0.3767,0.4036,0.4081
2036,0.3138,0.3452,0.3758,0.3956,0.4188
2037,0.3242,0.3241,0.3782,0.4052,0.4184
2038,0.3064,0.3465,0.3726,0.3825,0.4302
2039,0.3115,0.3545,0.347,0.3803,0.4208
2040,0.3113,0.3411,0.3439,0.3738,0.4572
2041,0.3237,0.3293,0.3834,0.4051,0.3972
2042,0.3131,0.3342,0.3841,0.3851,0.4216
2043,0.3095,0.3338,0.351,0.3809,0.394
2044,0.3136,0.338,0.3569,0.4043,0.4204
2045,0.3115,0.3393,0.3718,0.4136,0.4344
2046,0.3234,0.341,0.3647,0.4148,0.3939
2047,0.3142,0.3296,0.3426,0.3967,0.4054
2048,0.3123,0.3356,0.3751,0.3812,0.416
2049,0.3137,0.332,0.3481,0.381,0.4298
2050,0.3276,0.3259,0.3685,0.3915,0.4209
2051,0.3132,0.3297,0.3853,0.3882,0.3984
2052,0.3072,0.3302,0.3481,0.3905,0.4135
2053,0.3275,0.3339,0.3798,0.4096,0.4339
2054,0.3165,0.3191,0.3614,0.3824,0.4232
2055,0.3157,0.3481,0.3547,0.4002,0.4249
2056,0.3156,0.357,0.3671,0.4023,0.4153
2057,0.3116,0.335,0.3527,0.3763,0.4191
2058,0.3119,0.3311,0.3755,0.3995,0.4115
2059,0.3264,0.3189,0.3717,0.3914,0.4412
2060,0.3204,0.3352,0.3768,0.3855,0.4338
2061,0.3197,0.3323,0.3757,0.4079,0.4109
2062,0.3167,0.3419,0.3442,0.3899,0.3976
2063,0.32,0.337,0.3526,0.3855,0.4228
2064,0.3235,0.3345,0.3614,0.3998,0.4305
2065,0.3134,0.339,0.3471,0.385,0.4255
2066,0.3121,0.3436,0.3753,0.4053,0.4165
2067,0.3129,0.341,0.3662,0.3925,0.4219
2068,0.3119,0.3413,0.3756,0.3821,0.439
2069,0.3124,0.337,0.3468,0.4004,0.4106
2070,0.3066,0.3496,0.3601,0.3785,0.4256
2071,0.3031,0.341,0.3491,0.3841,0.4171
2072,0.3118,0.3383,0.3732,0.3947,0.4411
2073,0.318,0.3563,0.3757,0.3939,0.45
2074,0.3193,0.3214,0.3652,0.3811,0.4258
2075,0.316,0.3375,0.3561,0.4079,0.427
2076,0.3147,0.3399,0.3718,0.3783,0.3911
2077,0.3158,0.3308,0.3652,0.3773,0.4479
2078,0.3057,0.3385,0.3658,0.39,0.4254
2079,0.3195,0.3294,0.3461,0.4055,0.4391
2080,0.3058,0.3192,0.3541,0.391,0.4281
2081,0.3171,0.3375,0.3459,0.4145,0.4237
2082,0.3206,0.3392,0.3589,0.4145,0.4329
2083,0.3109,0.3339,0.3707,0.3953,0.4122
2084,0.3172,0.3358,0.3469,0.4017,0.4077
2085,0.3157,0.3474,0.3745,0.383,0.4468
2086,0.3196,0.3415,0.3696,0.4029,0.4543
2087,0.3182,0.3372,0.3822,0.4076,0.4534
2088,0.3225,0.3381,0.3512,0.4057,0.4169
2089,0.3168,0.3458,0.3539,0.4011,0.4204
2090,0.3067,0.3328,0.3498,0.377,0.4378
2091,0.3179,0.3509,0.3748,0.3866,0.4297
2092,0.3126,0.3358,0.3829,0.395,0.4145
2093,0.3181,0.3307,0.3673,0.3848,0.4081
2094,0.3152,0.331,0.3441,0.4015,0.4129
2095,0.31,0.3406,0.3729,0.392,0.4063
2096,0.3219,0.3381,0.3736,0.4187,0.4255
2097,0.3144,0.3329,0.3609,0.3817,0.4232
2098,0.3082,0.3276,0.3466,0.3833,0.418
2099,0.3086,0.3163,0.3646,0.3786,0.4095
2100,0.3097,0.3207,0.3479,0.3894,0.44
2101,0.3197,0.3213,0.3735,0.3997,0.4094
2102,0.3213,0.3268,0.3543,0.4006,0.4242
2103,0.3106,0.3299,0.3581,0.3848,0.4326
2104,0.3195,0.3366,0.3489,0.4025,0.4346
2105,0.3115,0.3276,0.3889,0.3976,0.4193
2106,0.3211,0.3452,0.3495,0.3998,0.4456
2107,0.3231,0.341,0.3591,0.3939,0.4472
